autor,seccion,similitud,titulo_1,ruta_1,vistas_1,titulo_2,ruta_2,vistas_2
Andrea Mercedes,daily news,1.0,Adiós al tapón en la 27 de Febrero: Abinader confirma la entrega del esperado túnel de la Plaza de la Bandera,/money-invest/daily-news/tunel-plaza-bandera-inauguracion-abinader/,252,Adiós al tapón en la 27 de Febrero: Abinader confirma la entrega del esperado túnel de la Plaza de la Bandera,/money-invest/daily-news/tunel-plaza-bandera-inauguracion-abinader-2/,86
Jhojhanni Fiorini,internacional,1.0,¿Cuáles son los países con la gasolina más cara y barata de Latinoamérica y dónde se ubica RD?,/money-invest/daily-news/paises-gasolina-mas-cara-barata-latinoamerica-posicion-rd/,238,¿Cuáles son los países con la gasolina más cara y barata de Latinoamérica y dónde se ubica RD?,/money-invest/daily-news/cuales-son-los-paises-con-la-gasolina-mas-cara-y-barata-de-latinoamerica/,210
Elba Reyes,sport business,1.0,Mundial 2026: conoce los cruces confirmados de los Octavos de Final tras los partidos de hoy,/empresas/sport-business/mundial-2026-conoce-los-cruces-confirmados-de-los-octavos-de-final-tras-los-partidos-de-hoy/,1602,Mundial 2026: conoce los cruces confirmados de los Octavos de Final tras los partidos de hoy,/empresas/sport-business/mundial-2026-conoce-los-cruces-confirmados-de-los-octavos-de-final/,201
Edwin Lozada,sport business,1.0,España se corona campeona del Mundial 2026 tras vencer a Argentina,/money-invest/daily-news/records-espana-campeona-mundial-2026/,121,España se corona campeona del Mundial 2026 tras vencer a Argentina,/money-invest/daily-news/espana-campeona-mundial-2026-argentina-ferran-torres/,120
Elba Reyes,sport business,1.0,Juegos Centroamericanos Santo Domingo 2026: dominicanos que compiten hoy y sus horarios,/empresas/sport-business/juegos-centroamericanos-santo-domingo-2026-dominicanos-que-compiten-hoy-y-sus-horarios/,1902,Juegos Centroamericanos Santo Domingo 2026: dominicanos que compiten hoy y sus horarios,/empresas/sport-business/juegos-centroamericanos-santo-domingo-2026-dominicanos-que-compiten-hoy-y-sus-horarios-2/,316
Elba Reyes,empresas,0.75,"Esto gana un ingeniero en República Dominicana en 2026, según el mercado laboral",/empresas/esto-gana-un-ingeniero-en-republica-dominicana-en-2026-segun-el-mercado-laboral/,188,"Esto gana una enfermera en República Dominicana en 2026, según el mercado laboral",/empresas/esto-gana-una-enfermera-en-republica-dominicana-en-2026-segun-el-mercado-laboral/,185
Elba Reyes,empresas,0.75,"Esto gana un ingeniero en República Dominicana en 2026, según el mercado laboral",/empresas/esto-gana-un-ingeniero-en-republica-dominicana-en-2026-segun-el-mercado-laboral/,188,"Esto gana un abogado en República Dominicana en 2026, según el mercado laboral",/empresas/esto-gana-un-abogado-en-republica-dominicana-en-2026-segun-el-mercado-laboral/,144
Elba Reyes,empresas,0.75,"Esto gana una enfermera en República Dominicana en 2026, según el mercado laboral",/empresas/esto-gana-una-enfermera-en-republica-dominicana-en-2026-segun-el-mercado-laboral/,185,"Esto gana un abogado en República Dominicana en 2026, según el mercado laboral",/empresas/esto-gana-un-abogado-en-republica-dominicana-en-2026-segun-el-mercado-laboral/,144
Jhojhanni Fiorini,actualidad,0.73,"Partidos del Mundial 2026 HOY, viernes 3 de julio: horarios en RD, dónde ver fútbol en vivo",/actualidad/partidos-del-mundial-2026-hoy-viernes-3-de-julio-horarios-en-rd-donde-ver-futbol-en-vivo/,728,"Partidos de hoy, viernes 31 de julio del 2026 EN VIVO: horarios y dónde ver fútbol",/actualidad/partidos-de-hoy-viernes-31-de-julio-del-2026-en-vivo-horarios-y-donde-ver-futbol/,274
Elba Reyes,sport business,0.7,"Cuadro de octavos de final del Mundial 2026: Partidos, cruces y fechas confirmadas",/empresas/sport-business/cuadro-de-octavos-de-final-del-mundial-2026-partidos-cruces-y-fechas-confirmadas/,1740,"Octavos de final del Mundial 2026: clasificados, cruces y fechas confirmadas",/empresas/sport-business/octavos-de-final-del-mundial-2026-clasificados-cruces-y-fechas-confirmadas/,412
