autor,notas_muestreadas,pct_actualizacion_real,pct_cita_fuentes_externas,pct_atribucion_explicita,schema_person,perfil_verificable,bio_verificable,pct_consistencia_tematica
Agatha Thomas,8,62.5,62.5,62.5,True,False,False,64.6
Ana Sosa,15,26.7,0.0,13.3,True,False,False,40.5
Andrea Mercedes,15,26.7,0.0,66.7,True,False,False,76.8
Ashley Presinal,5,80.0,0.0,0.0,True,False,False,54.5
Darling Gil,15,66.7,0.0,6.7,True,False,False,18.7
Edwin Lozada,15,93.3,66.7,40.0,True,False,False,48.7
Elba Reyes,15,33.3,20.0,40.0,True,False,False,39.4
Gabriel Rico Albarrán,15,26.7,20.0,33.3,True,False,False,23.8
Jhojhanni Fiorini,15,60.0,0.0,40.0,True,False,False,47.7
Juan Botero,3,100.0,66.7,66.7,True,False,False,47.9
Karime Rivas,15,6.7,0.0,13.3,True,False,False,48.0
Kenny Cayetano,4,75.0,25.0,0.0,True,False,False,52.5
Laura Peralta,7,57.1,0.0,0.0,True,False,False,100.0
Miguel Vega,15,73.3,86.7,53.3,True,False,False,33.7
Miranda Cross,2,0.0,0.0,50.0,True,False,False,53.8
Normedy Gallardo,2,50.0,0.0,0.0,True,False,False,100.0
Omar Mendez,1,0.0,0.0,0.0,True,False,False,100.0
Paola Cohen,2,100.0,0.0,0.0,True,False,False,52.1
Rodrigo Muñoz,15,80.0,73.3,60.0,True,False,False,17.5
Stacy Frias,2,100.0,0.0,0.0,True,False,False,68.4
marianbriceno,1,0.0,0.0,100.0,True,False,False,100.0
maynebatista,1,100.0,0.0,0.0,True,False,False,100.0
pferreras,10,20.0,10.0,20.0,True,False,False,76.7
