actualizacion_real,cita_fuentes_externas,n_dominios_externos,atribucion_explicita,error,autor,ruta
False,True,1,False,,Agatha Thomas,/empresas/estas-son-las-carreras-universitarias-mas-dificiles-segun-la-universidad-de-oxford/
True,True,1,True,,Agatha Thomas,/empresas/ranking-global-los-20-paises-con-los-impuestos-mas-altos-del-mundo/
True,False,0,True,,Agatha Thomas,/technology/whatsapp-deja-de-funcionar-en-estos-iphone-en-2026-lista-de-modelos-sin-soporte/
True,False,0,True,,Agatha Thomas,/lifestyle/las-10-ciudades-mas-economicas-para-vivir-en-estados-unidos-en-2026/
False,True,1,False,,Agatha Thomas,/empresas/fitur-2026-para-republica-dominicana/
True,True,3,False,,Agatha Thomas,/technology/la-funcion-que-debes-desactivar-en-tu-televisor-para-mejorar-la-calidad-de-imagen/
False,True,1,True,,Agatha Thomas,/empresas/las-playas-mas-peligrosas-del-mundo-en-2026-y-por-que-representan-un-riesgo/
True,False,0,True,,Agatha Thomas,/medihealth/virus-nipah-que-es-como-se-transmite-y-cuales-son-sus-primeros-sintomas/
False,False,0,False,,Ana Sosa,/money-invest/ee-uu-devuelve-us166-000-millones-en-aranceles-el-giro-forzado-que-expone-el-costo-real-de-la-politica-comercial-de-trump/
False,False,0,True,,Ana Sosa,/empresas/sport-business/noruega-vs-inglaterra-mundial-2026-una-tardo-28-anos-en-volver-la-otra-lleva-60-intentando-ser-campeona-de-nuevo/
False,False,0,False,,Ana Sosa,/business/precio-del-petroleo-por-que-el-mercado-vuelve-a-temer-una-nueva-crisis-energetica/
False,False,0,False,,Ana Sosa,/empresas/sport-business/espana-gana-el-mundial-2026-conquista-su-segunda-copa-del-mundo-tras-vencer-a-argentina/
False,False,0,False,,Ana Sosa,/empresas/sport-business/argentina-vs-inglaterra-semifinal-mundial-2026-la-revancha-que-la-seleccion-inglesa-tiene-esperando-40-anos/
False,False,0,False,,Ana Sosa,/lifestyle/viajes/las-ciudades-que-siguen-dominando-el-turismo-global-en-2026/
False,False,0,False,,Ana Sosa,/empresas/sport-business/juegos-centroamericanos-y-del-caribe-100-anos-de-historia-y-republica-dominicana-como-sede-que-transforma-el-deporte-en-oportunidad/
True,False,0,False,,Ana Sosa,/empresas/equifax-compra-circulo-de-credito-la-gran-apuesta-por-controlar-la-infraestructura-del-credito-en-america-latina/
False,False,0,False,,Ana Sosa,/empresas/sport-business/espana-vs-argentina-final-del-mundial-2026-el-ultimo-partido-y-la-mayor-celebracion-que-haya-preparado-la-fifa/
