autor,entidad,tipo,notas_mes,estado,motivo,ratio_declive_impresiones,ratio_tendencia_reciente
Ana Sosa,IA,entidad,4,ACTIVA,aporte diario de impresiones estable o al alza en los últimos días,,-0.172
Ana Sosa,inteligencia artificial,tema,4,CONCLUIDA,aporte diario de impresiones cayó a -49% de su nivel de hace unos días,0.084,-0.494
Ana Sosa,Mundial,tema,1,CONCLUIDA,impresiones del mes en 4% de su pico mensual histórico,0.042,
Ana Sosa,pone a prueba,tema,1,CONCLUIDA,impresiones del mes en 0% de su pico mensual histórico,0.0,
Ana Sosa,EE UU,entidad,5,SIN_DATOS,sin señal de declive detectada,,
Ana Sosa,Estados Unidos,entidad,3,SIN_DATOS,sin señal de declive detectada,,
Ana Sosa,China,entidad,2,SIN_DATOS,sin señal de declive detectada,,
Ana Sosa,Elon Musk,entidad,2,SIN_DATOS,sin señal de declive detectada,,
Ana Sosa,Venezuela,entidad,2,SIN_DATOS,sin señal de declive detectada,,
Ana Sosa,Ormuz,entidad,2,SIN_DATOS,sin señal de declive detectada,,
Ana Sosa,global cuánto podría subir,tema,2,SIN_DATOS,sin señal de declive detectada,,
Ana Sosa,continúa la crisis,tema,2,SIN_DATOS,sin señal de declive detectada,,
Ana Sosa,estrecho de ormuz,tema,2,SIN_DATOS,sin señal de declive detectada,,
Ana Sosa,US,entidad,1,SIN_DATOS,sin señal de declive detectada,,
Ana Sosa,Apple,entidad,1,SIN_DATOS,sin señal de declive detectada,,
Ana Sosa,GLP,entidad,1,SIN_DATOS,sin señal de declive detectada,,
Ana Sosa,York,entidad,1,SIN_DATOS,sin señal de declive detectada,,
Ana Sosa,turismo global,tema,1,SIN_DATOS,sin señal de declive detectada,,
Ana Sosa,Trump,entidad,1,SIN_DATOS,sin señal de declive detectada,,
Ana Sosa,Irán,entidad,1,SIN_DATOS,sin señal de declive detectada,,
Ana Sosa,medicamentos glp,tema,1,SIN_DATOS,sin señal de declive detectada,,
Ana Sosa,Caribe,entidad,1,SIN_DATOS,sin señal de declive detectada,,
Ana Sosa,Meta,entidad,1,SIN_DATOS,sin señal de declive detectada,,
Andrea Mercedes,EE UU,entidad,14,ACTIVA,aporte diario de impresiones estable o al alza en los últimos días,0.345,0.563
Andrea Mercedes,resultados de leidsa,entidad,6,ACTIVA,sigue en 30% de su pico mensual histórico,0.301,
Andrea Mercedes,América Latina,entidad,6,ACTIVA,sigue en 55% de su pico mensual histórico,0.551,
Andrea Mercedes,US,entidad,5,ACTIVA,aporte diario de impresiones estable o al alza en los últimos días,0.221,0.528
Andrea Mercedes,Gobierno,entidad,3,ACTIVA,sigue en 20% de su pico mensual histórico,0.2,
Andrea Mercedes,dominicana,entidad,3,ACTIVA,aporte diario de impresiones estable o al alza en los últimos días,1.0,-0.891
Andrea Mercedes,código penal,entidad,2,ACTIVA,aporte diario de impresiones estable o al alza en los últimos días,1.0,0.488
Andrea Mercedes,España,entidad,2,ACTIVA,sigue en 19% de su pico mensual histórico,0.189,
Andrea Mercedes,Brasil,entidad,2,ACTIVA,sigue en 40% de su pico mensual histórico,0.404,
Andrea Mercedes,Elon Musk,entidad,2,ACTIVA,aporte diario de impresiones estable o al alza en los últimos días,,0.365
Andrea Mercedes,acceder al beneficio,tema,2,ACTIVA,aporte diario de impresiones estable o al alza en los últimos días,,0.761
Andrea Mercedes,musk sufre la pérdida,tema,2,ACTIVA,aporte diario de impresiones estable o al alza en los últimos días,,0.364
Andrea Mercedes,patrimonio neto,tema,2,ACTIVA,aporte diario de impresiones estable o al alza en los últimos días,,0.364
Andrea Mercedes,Niño,entidad,1,ACTIVA,sigue en 68% de su pico mensual histórico,0.678,
Andrea Mercedes,tribunal constitucional,entidad,1,ACTIVA,sigue en 100% de su pico mensual histórico,1.0,
Andrea Mercedes,C,entidad,1,ACTIVA,sigue en 54% de su pico mensual histórico,0.539,
Andrea Mercedes,cuánto dinero,tema,1,ACTIVA,sigue en 24% de su pico mensual histórico,0.24,
Andrea Mercedes,Blanca,entidad,1,ACTIVA,sigue en 100% de su pico mensual histórico,1.0,
Andrea Mercedes,sismo de magnitud,tema,1,ACTIVA,aporte diario de impresiones estable o al alza en los últimos días,,1.272
Andrea Mercedes,Santo Domingo,entidad,5,CONCLUIDA,impresiones del mes en 15% de su pico mensual histórico,0.148,
Andrea Mercedes,bono a mil,entidad,5,CONCLUIDA,aporte diario de impresiones cayó a 18% de su nivel de hace unos días,,0.175
Andrea Mercedes,Colombia,entidad,4,CONCLUIDA,aporte diario de impresiones cayó a 0% de su nivel de hace unos días,0.013,0.001
Andrea Mercedes,Donald Trump,entidad,4,CONCLUIDA,impresiones del mes en 2% de su pico mensual histórico,0.015,
Andrea Mercedes,eclipse solar,tema,3,CONCLUIDA,aporte diario de impresiones cayó a 0% de su nivel de hace unos días,0.185,0.005
Andrea Mercedes,siete meses,tema,3,CONCLUIDA,aporte diario de impresiones cayó a 30% de su nivel de hace unos días,,0.298
Andrea Mercedes,Abinader,entidad,2,CONCLUIDA,impresiones del mes en 4% de su pico mensual histórico,0.045,
Andrea Mercedes,Caribe,entidad,2,CONCLUIDA,aporte diario de impresiones cayó a -2995% de su nivel de hace unos días,0.081,-29.947
Andrea Mercedes,York,entidad,2,CONCLUIDA,impresiones del mes en 0% de su pico mensual histórico,0.003,
Andrea Mercedes,metro de santo,tema,2,CONCLUIDA,aporte diario de impresiones cayó a 17% de su nivel de hace unos días,0.036,0.168
Andrea Mercedes,Luna,entidad,2,CONCLUIDA,impresiones del mes en 0% de su pico mensual histórico,0.001,
Andrea Mercedes,tus hijos están,tema,2,CONCLUIDA,aporte diario de impresiones cayó a 7% de su nivel de hace unos días,,0.069
Andrea Mercedes,mil cómo consultar,tema,2,CONCLUIDA,aporte diario de impresiones cayó a 7% de su nivel de hace unos días,,0.069
Andrea Mercedes,están en la lista,tema,2,CONCLUIDA,aporte diario de impresiones cayó a 7% de su nivel de hace unos días,,0.069
Andrea Mercedes,estabilidad del peso,tema,2,CONCLUIDA,aporte diario de impresiones cayó a 8% de su nivel de hace unos días,,0.077
Andrea Mercedes,Venezuela,entidad,1,CONCLUIDA,impresiones del mes en 13% de su pico mensual histórico,0.129,
Andrea Mercedes,Trump,entidad,1,CONCLUIDA,impresiones del mes en 9% de su pico mensual histórico,0.091,
Andrea Mercedes,papa león,entidad,1,CONCLUIDA,impresiones del mes en 7% de su pico mensual histórico,0.07,
Andrea Mercedes,casa blanca,tema,1,CONCLUIDA,impresiones del mes en 1% de su pico mensual histórico,0.008,
Andrea Mercedes,China,entidad,1,CONCLUIDA,impresiones del mes en 2% de su pico mensual histórico,0.019,
Andrea Mercedes,Abelardo de la Espriella,entidad,1,CONCLUIDA,impresiones del mes en 9% de su pico mensual histórico,0.093,
Andrea Mercedes,Santiago,entidad,1,CONCLUIDA,impresiones del mes en 6% de su pico mensual histórico,0.056,
Andrea Mercedes,NASA,entidad,1,CONCLUIDA,impresiones del mes en 6% de su pico mensual histórico,0.062,
Andrea Mercedes,tormenta tropical,tema,1,CONCLUIDA,impresiones del mes en 1% de su pico mensual histórico,0.013,
Andrea Mercedes,momento del impactante terremoto,tema,1,CONCLUIDA,aporte diario de impresiones cayó a 0% de su nivel de hace unos días,,0.0
Andrea Mercedes,terremoto de que sacudió,tema,1,CONCLUIDA,aporte diario de impresiones cayó a 0% de su nivel de hace unos días,,0.0
Andrea Mercedes,IA,entidad,1,CONCLUIDA,impresiones del mes en 1% de su pico mensual histórico,0.012,
Andrea Mercedes,primer país,tema,1,CONCLUIDA,aporte diario de impresiones cayó a 4% de su nivel de hace unos días,0.093,0.04
Andrea Mercedes,cuánto costará,tema,1,CONCLUIDA,impresiones del mes en 8% de su pico mensual histórico,0.085,
Andrea Mercedes,próxima semana,tema,1,CONCLUIDA,impresiones del mes en 0% de su pico mensual histórico,0.0,
Andrea Mercedes,Estados Unidos,entidad,10,SIN_DATOS,sin señal de declive detectada,,
Andrea Mercedes,año escolar,tema,4,SIN_DATOS,sin señal de declive detectada,,
Andrea Mercedes,elecciones en brasil,tema,4,SIN_DATOS,sin señal de declive detectada,,
Andrea Mercedes,Europa,entidad,4,SIN_DATOS,sin señal de declive detectada,,
Andrea Mercedes,Ito Bisonó,entidad,3,SIN_DATOS,sin señal de declive detectada,,
Andrea Mercedes,Flávio Bolsonaro,entidad,3,SIN_DATOS,sin señal de declive detectada,,
Andrea Mercedes,inicio del año escolar,tema,3,SIN_DATOS,sin señal de declive detectada,,
Andrea Mercedes,Atlántico,entidad,3,SIN_DATOS,sin señal de declive detectada,,
Andrea Mercedes,elecciones en brasil lula,entidad,3,SIN_DATOS,sin señal de declive detectada,,
Andrea Mercedes,Banco Central,entidad,3,SIN_DATOS,sin señal de declive detectada,,
Andrea Mercedes,truth social,tema,3,SIN_DATOS,sin señal de declive detectada,,
Andrea Mercedes,Cuba,entidad,2,SIN_DATOS,sin señal de declive detectada,,
Andrea Mercedes,Luis Abinader,entidad,2,SIN_DATOS,sin señal de declive detectada,,
Andrea Mercedes,cuánto cuesta,tema,2,SIN_DATOS,sin señal de declive detectada,,
Andrea Mercedes,nuevas restricciones,tema,2,SIN_DATOS,sin señal de declive detectada,,
Andrea Mercedes,Espriella,entidad,2,SIN_DATOS,sin señal de declive detectada,,
Andrea Mercedes,Schengen,entidad,2,SIN_DATOS,sin señal de declive detectada,,
Andrea Mercedes,Patriot Passport,entidad,2,SIN_DATOS,sin señal de declive detectada,,
Andrea Mercedes,deuda pública,tema,2,SIN_DATOS,sin señal de declive detectada,,
Andrea Mercedes,millones de visitantes,tema,2,SIN_DATOS,sin señal de declive detectada,,
Andrea Mercedes,terremotos de magnitud,tema,2,SIN_DATOS,sin señal de declive detectada,,
Andrea Mercedes,visa que alejan,tema,2,SIN_DATOS,sin señal de declive detectada,,
Andrea Mercedes,alejan a los estudiantes,tema,2,SIN_DATOS,sin señal de declive detectada,,
Andrea Mercedes,importados en república dominicana,tema,2,SIN_DATOS,sin señal de declive detectada,,
Andrea Mercedes,alianza en arizona,entidad,2,SIN_DATOS,sin señal de declive detectada,,
Andrea Mercedes,dominicana entrar al negocio,tema,2,SIN_DATOS,sin señal de declive detectada,,
Andrea Mercedes,importante para república dominicana,tema,2,SIN_DATOS,sin señal de declive detectada,,
Andrea Mercedes,semiconductores con alianza,tema,2,SIN_DATOS,sin señal de declive detectada,,
Andrea Mercedes,quién mueve,tema,2,SIN_DATOS,sin señal de declive detectada,,
Andrea Mercedes,cuesta viajar a estados,tema,2,SIN_DATOS,sin señal de declive detectada,,
Andrea Mercedes,unidos desde república dominicana,tema,2,SIN_DATOS,sin señal de declive detectada,,
Andrea Mercedes,competencia para claro,tema,2,SIN_DATOS,sin señal de declive detectada,,
Andrea Mercedes,nuevas restricciones de visa,tema,2,SIN_DATOS,sin señal de declive detectada,,
Andrea Mercedes,reclamos de la adp,entidad,2,SIN_DATOS,sin señal de declive detectada,,
Andrea Mercedes,renuncia del canciller roberto,entidad,2,SIN_DATOS,sin señal de declive detectada,,
Andrea Mercedes,Claro y Altice Viettel,entidad,2,SIN_DATOS,sin señal de declive detectada,,
Andrea Mercedes,Tim Curry,entidad,2,SIN_DATOS,sin señal de declive detectada,,
Andrea Mercedes,Dolly Parton,entidad,2,SIN_DATOS,sin señal de declive detectada,,
Andrea Mercedes,Viettel,entidad,2,SIN_DATOS,sin señal de declive detectada,,
Andrea Mercedes,nombran a ito bisonó,tema,2,SIN_DATOS,sin señal de declive detectada,,
Andrea Mercedes,dominicana aceptan la renuncia,tema,2,SIN_DATOS,sin señal de declive detectada,,
Andrea Mercedes,alista para ofrecer telefonía,tema,2,SIN_DATOS,sin señal de declive detectada,,
Andrea Mercedes,pugna por cupos,tema,2,SIN_DATOS,sin señal de declive detectada,,
Andrea Mercedes,estudiantes extranjeros,tema,2,SIN_DATOS,sin señal de declive detectada,,
Andrea Mercedes,habrá docencia,tema,2,SIN_DATOS,sin señal de declive detectada,,
Andrea Mercedes,escolar marcado por reclamos,tema,2,SIN_DATOS,sin señal de declive detectada,,
Andrea Mercedes,Santa Lucía y Matías Ramón Mella,entidad,2,SIN_DATOS,sin señal de declive detectada,,
Andrea Mercedes,provincias tendría república dominicana,tema,2,SIN_DATOS,sin señal de declive detectada,,
Andrea Mercedes,dominicana con la creación,tema,2,SIN_DATOS,sin señal de declive detectada,,
Andrea Mercedes,plantean que inabie,tema,2,SIN_DATOS,sin señal de declive detectada,,
Andrea Mercedes,campo dominicano,tema,2,SIN_DATOS,sin señal de declive detectada,,
Andrea Mercedes,comedores económicos adquieran,entidad,2,SIN_DATOS,sin señal de declive detectada,,
Andrea Mercedes,única sede del gobierno,tema,2,SIN_DATOS,sin señal de declive detectada,,
Andrea Mercedes,turismo en república dominicana,tema,2,SIN_DATOS,sin señal de declive detectada,,
Andrea Mercedes,república dominicana rompe récord,tema,2,SIN_DATOS,sin señal de declive detectada,,
Andrea Mercedes,récord con millones,tema,2,SIN_DATOS,sin señal de declive detectada,,
Andrea Mercedes,visitantes en siete meses,tema,2,SIN_DATOS,sin señal de declive detectada,,
Andrea Mercedes,Miami,entidad,2,SIN_DATOS,sin señal de declive detectada,,
Andrea Mercedes,dos ciudades,tema,2,SIN_DATOS,sin señal de declive detectada,,
Andrea Mercedes,caro vivir,tema,2,SIN_DATOS,sin señal de declive detectada,,
Andrea Mercedes,salario mínimo,tema,2,SIN_DATOS,sin señal de declive detectada,,
Andrea Mercedes,poder adquisitivo,tema,2,SIN_DATOS,sin señal de declive detectada,,
Andrea Mercedes,países de europa,tema,2,SIN_DATOS,sin señal de declive detectada,,
Andrea Mercedes,europa con mejor salario,tema,2,SIN_DATOS,sin señal de declive detectada,,
Andrea Mercedes,mínimo y mayor poder,tema,2,SIN_DATOS,sin señal de declive detectada,,
Andrea Mercedes,vive la mayoría,tema,2,SIN_DATOS,sin señal de declive detectada,,
Andrea Mercedes,divide la población,tema,2,SIN_DATOS,sin señal de declive detectada,,
Andrea Mercedes,mayoría de los dominicanos,tema,2,SIN_DATOS,sin señal de declive detectada,,
Andrea Mercedes,población entre la capital,tema,2,SIN_DATOS,sin señal de declive detectada,,
Andrea Mercedes,capital y las provincias,tema,2,SIN_DATOS,sin señal de declive detectada,,
Andrea Mercedes,Gobierno en Colombia,entidad,2,SIN_DATOS,sin señal de declive detectada,,
Andrea Mercedes,bogotá dejará,entidad,2,SIN_DATOS,sin señal de declive detectada,,
Andrea Mercedes,mantienen normales,tema,2,SIN_DATOS,sin señal de declive detectada,,
Andrea Mercedes,encuestas ante flávio bolsonaro,tema,2,SIN_DATOS,sin señal de declive detectada,,
Andrea Mercedes,bolsonaro pero la contienda,tema,2,SIN_DATOS,sin señal de declive detectada,,
Andrea Mercedes,presuntamente comercializar accesos rápidos,tema,2,SIN_DATOS,sin señal de declive detectada,,
Andrea Mercedes,privilegios en truth social,entidad,2,SIN_DATOS,sin señal de declive detectada,,
Andrea Mercedes,Demandan a Donald Trump,entidad,2,SIN_DATOS,sin señal de declive detectada,,
Andrea Mercedes,República Dominicana y Colombia,entidad,2,SIN_DATOS,sin señal de declive detectada,,
Andrea Mercedes,vuelos entre república dominicana,tema,2,SIN_DATOS,sin señal de declive detectada,,
Andrea Mercedes,argumentos de washington,entidad,2,SIN_DATOS,sin señal de declive detectada,,
Andrea Mercedes,como punto de transbordo,tema,2,SIN_DATOS,sin señal de declive detectada,,
Andrea Mercedes,transbordo de productos chinos,tema,2,SIN_DATOS,sin señal de declive detectada,,
Andrea Mercedes,tormenta política en europa,tema,2,SIN_DATOS,sin señal de declive detectada,,
Andrea Mercedes,tratados impiden expulsar,tema,2,SIN_DATOS,sin señal de declive detectada,,
Andrea Mercedes,zona schengen,tema,2,SIN_DATOS,sin señal de declive detectada,,
Andrea Mercedes,españa de la zona,tema,2,SIN_DATOS,sin señal de declive detectada,,
Andrea Mercedes,estados unidos reembolsa,tema,2,SIN_DATOS,sin señal de declive detectada,,
Andrea Mercedes,impulsa una nueva emisión,tema,2,SIN_DATOS,sin señal de declive detectada,,
Andrea Mercedes,imagen de donald trump,tema,2,SIN_DATOS,sin señal de declive detectada,,
Andrea Mercedes,patriot passport con imagen,tema,2,SIN_DATOS,sin señal de declive detectada,,
Andrea Mercedes,emisión del patriot passport,tema,2,SIN_DATOS,sin señal de declive detectada,,
Andrea Mercedes,importadores por aranceles anulados,tema,2,SIN_DATOS,sin señal de declive detectada,,
Andrea Mercedes,millones a importadores,tema,2,SIN_DATOS,sin señal de declive detectada,,
Andrea Mercedes,crisis del petróleo,tema,2,SIN_DATOS,sin señal de declive detectada,,
Andrea Mercedes,unidos en y cuánto,tema,2,SIN_DATOS,sin señal de declive detectada,,
Andrea Mercedes,caros de estados unidos,tema,2,SIN_DATOS,sin señal de declive detectada,,
Andrea Mercedes,cuánto cuesta comprar casa,tema,2,SIN_DATOS,sin señal de declive detectada,,
Andrea Mercedes,mercados inmobiliarios más caros,tema,2,SIN_DATOS,sin señal de declive detectada,,
Andrea Mercedes,prevé que la crisis,tema,2,SIN_DATOS,sin señal de declive detectada,,
Andrea Mercedes,alta demanda impulsa,tema,2,SIN_DATOS,sin señal de declive detectada,,
Andrea Mercedes,negocio de los semiconductores,tema,2,SIN_DATOS,sin señal de declive detectada,,
Andrea Mercedes,fallo histórico,tema,1,SIN_DATOS,sin señal de declive detectada,,
Andrea Mercedes,redes sociales,tema,1,SIN_DATOS,sin señal de declive detectada,,
Andrea Mercedes,pasajes de avión,tema,1,SIN_DATOS,sin señal de declive detectada,,
