entidad,tipo,trafico_actual,trafico_anterior,pct_cambio,paginas_actual,paginas_anterior
lanzamiento del iphone,tema,6,823,-99.27095990279466,2,2
RD en Santo Domingo,entidad,85,8759,-99.02956958556913,4,4
Juegos Santo Domingo,entidad,14,1435,-99.02439024390245,2,2
horarios y competencias,tema,14,1347,-98.96065330363771,2,2
juegos centroamericanos hora,tema,18,1330,-98.64661654135338,2,2
precio del petróleo,tema,10,693,-98.55699855699855,2,2
inaugural de los juegos,tema,12,728,-98.35164835164835,2,2
diseñó la ceremonia inaugural,tema,12,728,-98.35164835164835,2,2
fuerte aumento,tema,56,3240,-98.27160493827161,2,2
ciudad aeropuerto de américa,tema,70,3354,-97.91293977340489,2,2
fútbol globalizado revista mercado,tema,12,553,-97.83001808318264,2,2
vivo horarios,tema,11,481,-97.71309771309771,2,2
ver fútbol revista mercado,tema,11,481,-97.71309771309771,2,2
centroamericanos y del caribe,tema,18,778,-97.68637532133675,9,9
Juegos Centroamericanos,entidad,320,12443,-97.42827292453589,30,30
demasiada proteína,tema,14,522,-97.31800766283524,2,2
cuánto recibirán,tema,58,1594,-96.36135508155583,2,2
medalla en santo,tema,58,1594,-96.36135508155583,2,2
recibirán por cada medalla,tema,58,1594,-96.36135508155583,2,2
tiene escena,tema,28,769,-96.3589076723017,3,3
tiene escena postcréditos,tema,28,762,-96.3254593175853,2,2
hermanos de lionel messi,tema,48,1267,-96.2115232833465,2,2
calendario de los juegos,tema,24,620,-96.12903225806451,2,2
Juegos Centroamericanos y del Caribe,entidad,18,463,-96.11231101511879,3,3
república dominicana en santo,tema,76,1833,-95.85379159847245,3,3
lula inicia la campaña,tema,39,918,-95.7516339869281,2,2
habrá balotaje en brasil,tema,39,918,-95.7516339869281,2,2
campaña con ventaja,tema,39,918,-95.7516339869281,2,2
crisis energética,tema,30,706,-95.75070821529745,4,4
Perú,entidad,156,3640,-95.71428571428571,12,12
crisis energética revista mercado,tema,30,700,-95.71428571428571,3,3
