autor,forma,tipo,notas,pct_del_periodista,rutas,es_evento_concluido,ratio_declive_impresiones,ratio_tendencia_reciente,confianza
Agatha Thomas,ranking global los países,tema,2,11.8,/empresas/ranking-global-los-20-paises-con-los-impuestos-mas-altos-del-mundo|/empresas/ranking-global-los-20-paises-con-los-impuestos-mas-altos-del-mundo/,True,0.867,,⚪ baja
Agatha Thomas,modelos sin soporte,tema,2,11.8,/technology/whatsapp-deja-de-funcionar-en-estos-iphone-en-2026-lista-de-modelos-sin-soporte|/technology/whatsapp-deja-de-funcionar-en-estos-iphone-en-2026-lista-de-modelos-sin-soporte/,True,1.0,,⚪ baja
Agatha Thomas,virus nipah,entidad,2,11.8,/medihealth/virus-nipah-que-es-como-se-transmite-y-cuales-son-sus-primeros-sintomas|/medihealth/virus-nipah-que-es-como-se-transmite-y-cuales-son-sus-primeros-sintomas/,True,,,⚪ baja
Agatha Thomas,peligrosas del mundo,tema,2,11.8,/empresas/las-playas-mas-peligrosas-del-mundo-en-2026-y-por-que-representan-un-riesgo|/empresas/las-playas-mas-peligrosas-del-mundo-en-2026-y-por-que-representan-un-riesgo/,True,,,⚪ baja
Agatha Thomas,playas más peligrosas,tema,2,11.8,/empresas/las-playas-mas-peligrosas-del-mundo-en-2026-y-por-que-representan-un-riesgo|/empresas/las-playas-mas-peligrosas-del-mundo-en-2026-y-por-que-representan-un-riesgo/,True,,,⚪ baja
Agatha Thomas,stand saborea,entidad,2,11.8,/empresas/fitur-2026-para-republica-dominicana|/empresas/fitur-2026-para-republica-dominicana/,True,0.07,,⚪ baja
Agatha Thomas,fitur para república dominicana,entidad,2,11.8,/empresas/fitur-2026-para-republica-dominicana|/empresas/fitur-2026-para-republica-dominicana/,True,0.07,,⚪ baja
Agatha Thomas,función que debes desactivar,tema,2,11.8,/technology/la-funcion-que-debes-desactivar-en-tu-televisor-para-mejorar-la-calidad-de-imagen|/technology/la-funcion-que-debes-desactivar-en-tu-televisor-para-mejorar-la-calidad-de-imagen/,True,1.0,,⚪ baja
Agatha Thomas,calidad de imagen,tema,2,11.8,/technology/la-funcion-que-debes-desactivar-en-tu-televisor-para-mejorar-la-calidad-de-imagen|/technology/la-funcion-que-debes-desactivar-en-tu-televisor-para-mejorar-la-calidad-de-imagen/,True,1.0,,⚪ baja
Agatha Thomas,mejorar la calidad,tema,2,11.8,/technology/la-funcion-que-debes-desactivar-en-tu-televisor-para-mejorar-la-calidad-de-imagen|/technology/la-funcion-que-debes-desactivar-en-tu-televisor-para-mejorar-la-calidad-de-imagen/,True,1.0,,⚪ baja
Agatha Thomas,televisor para mejorar,tema,2,11.8,/technology/la-funcion-que-debes-desactivar-en-tu-televisor-para-mejorar-la-calidad-de-imagen|/technology/la-funcion-que-debes-desactivar-en-tu-televisor-para-mejorar-la-calidad-de-imagen/,True,1.0,,⚪ baja
Agatha Thomas,funcionar en estos iphone,tema,2,11.8,/technology/whatsapp-deja-de-funcionar-en-estos-iphone-en-2026-lista-de-modelos-sin-soporte|/technology/whatsapp-deja-de-funcionar-en-estos-iphone-en-2026-lista-de-modelos-sin-soporte/,True,1.0,,⚪ baja
Agatha Thomas,lista de modelos,tema,2,11.8,/technology/whatsapp-deja-de-funcionar-en-estos-iphone-en-2026-lista-de-modelos-sin-soporte|/technology/whatsapp-deja-de-funcionar-en-estos-iphone-en-2026-lista-de-modelos-sin-soporte/,True,1.0,,⚪ baja
Agatha Thomas,impuestos más altos,tema,2,11.8,/empresas/ranking-global-los-20-paises-con-los-impuestos-mas-altos-del-mundo|/empresas/ranking-global-los-20-paises-con-los-impuestos-mas-altos-del-mundo/,True,0.867,,⚪ baja
Agatha Thomas,iphone en lista,tema,2,11.8,/technology/whatsapp-deja-de-funcionar-en-estos-iphone-en-2026-lista-de-modelos-sin-soporte|/technology/whatsapp-deja-de-funcionar-en-estos-iphone-en-2026-lista-de-modelos-sin-soporte/,True,1.0,,⚪ baja
Agatha Thomas,whatsapp deja de funcionar,entidad,2,11.8,/technology/whatsapp-deja-de-funcionar-en-estos-iphone-en-2026-lista-de-modelos-sin-soporte|/technology/whatsapp-deja-de-funcionar-en-estos-iphone-en-2026-lista-de-modelos-sin-soporte/,True,1.0,,⚪ baja
Agatha Thomas,difíciles según la universidad,tema,2,11.8,/empresas/estas-son-las-carreras-universitarias-mas-dificiles-segun-la-universidad-de-oxford|/empresas/estas-son-las-carreras-universitarias-mas-dificiles-segun-la-universidad-de-oxford/,True,0.086,,⚪ baja
Agatha Thomas,carreras universitarias más difíciles,tema,2,11.8,/empresas/estas-son-las-carreras-universitarias-mas-dificiles-segun-la-universidad-de-oxford|/empresas/estas-son-las-carreras-universitarias-mas-dificiles-segun-la-universidad-de-oxford/,True,0.086,,⚪ baja
Agatha Thomas,universidad de oxford,entidad,2,11.8,/empresas/estas-son-las-carreras-universitarias-mas-dificiles-segun-la-universidad-de-oxford|/empresas/estas-son-las-carreras-universitarias-mas-dificiles-segun-la-universidad-de-oxford/,True,0.086,,⚪ baja
Agatha Thomas,económicas para vivir,tema,2,11.8,/lifestyle/las-10-ciudades-mas-economicas-para-vivir-en-estados-unidos-en-2026|/lifestyle/las-10-ciudades-mas-economicas-para-vivir-en-estados-unidos-en-2026/,True,0.496,,⚪ baja
Agatha Thomas,ciudades más económicas,tema,2,11.8,/lifestyle/las-10-ciudades-mas-economicas-para-vivir-en-estados-unidos-en-2026|/lifestyle/las-10-ciudades-mas-economicas-para-vivir-en-estados-unidos-en-2026/,True,0.496,,⚪ baja
