autor,seccion,notas,trafico,trafico_por_nota,confianza,mediana_seccion_otros,pct_trafico_periodista
Agatha Thomas,empresas,25,6862.0,274.0,alta,87.0,86.2
Agatha Thomas,lifestyle,7,980.0,140.0,media,165.0,12.3
Agatha Thomas,medihealth,5,116.0,23.0,media,59.5,1.5
Ana Sosa,market-brief/finanzas,1,230.0,230.0,baja,143.5,2.9
Ana Sosa,empresas/sport-business,7,1526.0,218.0,media,260.0,19.3
Ana Sosa,money-invest,7,1456.0,208.0,media,86.0,18.4
Ana Sosa,empresas,4,459.0,115.0,media,87.0,5.8
Ana Sosa,sostenibilidad,1,114.0,114.0,baja,57.0,1.4
Ana Sosa,lifestyle/viajes,3,306.0,102.0,media,63.5,3.9
Ana Sosa,business,35,3026.0,86.0,alta,86.0,38.2
Ana Sosa,money-invest/daily-news,2,131.0,66.0,baja,195.0,1.7
Ana Sosa,politica,4,232.0,58.0,media,163.0,2.9
Ana Sosa,lifestyle,8,443.0,55.0,media,165.0,5.6
Andrea Mercedes,construccion,3,4828.0,1609.0,media,152.0,1.0
Andrea Mercedes,actualidad,45,58656.0,1303.0,alta,136.0,11.8
Andrea Mercedes,money-invest/daily-news,542,425378.0,785.0,alta,195.0,85.4
Andrea Mercedes,lifestyle,16,3036.0,190.0,alta,165.0,0.6
Andrea Mercedes,empresas/sport-business,16,2046.0,128.0,alta,260.0,0.4
Andrea Mercedes,money-invest,25,2151.0,86.0,alta,86.0,0.4
Andrea Mercedes,mercado-women,3,254.0,85.0,media,48.0,0.1
Andrea Mercedes,money-invest/republica-dominicana,5,380.0,76.0,media,93.0,0.1
Andrea Mercedes,money-invest/internacional-economia,4,267.0,67.0,media,76.0,0.1
Andrea Mercedes,empresas,16,765.0,48.0,alta,87.0,0.2
Andrea Mercedes,nacional,4,181.0,45.0,media,603.5,0.0
Ashley Presinal,empresas,28,1106.0,40.0,alta,87.0,100.0
Darling Gil,mercado,3,1658.0,553.0,media,54.0,13.1
Darling Gil,lifestyle,11,3467.0,315.0,alta,165.0,27.5
Darling Gil,empresas/brand-content,26,4109.0,158.0,alta,89.0,32.6
Darling Gil,empresas,9,850.0,94.0,media,87.0,6.7
Darling Gil,money-invest/republica-dominicana,3,280.0,93.0,media,93.0,2.2
Darling Gil,mercado-exchange,1,79.0,79.0,baja,52.0,0.6
Darling Gil,market-brief,6,429.0,72.0,media,52.5,3.4
Darling Gil,money-invest/daily-news,1,69.0,69.0,baja,195.0,0.5
Darling Gil,mercado-women/executive-profiles,5,283.0,57.0,media,61.5,2.2
Darling Gil,actualidad,6,312.0,52.0,media,136.0,2.5
Darling Gil,cover-story,13,653.0,50.0,alta,64.0,5.2
Darling Gil,money-invest,8,279.0,35.0,media,86.0,2.2
Darling Gil,regular,3,93.0,31.0,media,31.0,0.7
Darling Gil,ediciones-especiales,2,54.0,27.0,baja,27.0,0.4
Edwin Lozada,money-invest/daily-news,27,60530.0,2242.0,alta,195.0,51.6
