autor,slug,cargo,tiene_foto
Edwin Lozada,edwin-lozada,,False
Jhojhanni Fiorini,jhojhanni-fiorini,DIGITAL EDITOR,True
Andrea Mercedes,andrea-mercedes,DIGITAL EDITOR,True
Elba Reyes,elba-reyes,DIGITAL EDITOR,True
Rodrigo Muñoz,rodrigo-munoz,DIGITAL EDITOR,True
Ana Sosa,ana-sosa,DIGITAL EDITOR,False
Karime Rivas,karime-rivas,DIGITAL EDITOR,True
Miguel Vega,miguel-vega,Servicio Informativo EFE,False
Agatha Thomas,agatha-thomas,DIGITAL EDITOR,False
Darling Gil,darling-gil,,False
Gabriel Rico Albarrán,gabriel-rico-albarran,DIGITAL EDITOR,True
pferreras,pferreras,DIRECTOR,False
Miranda Cross,miranda-cross,,False
Ashley Presinal,ashley-presinal,,False
