ruta,mes,impresiones
(not set),2026-06,0.0
/,2026-01,6801.0
/,2026-02,6967.0
/,2026-03,9003.0
/,2026-04,8503.0
/,2026-05,8035.0
/,2026-06,9744.0
/,2026-07,8119.0
/,2026-08,7970.0
/ instagram,2026-04,0.0
/*,2026-07,0.0
/*/,2026-07,0.0
/-/-/-/-/-/-/-/-/-/-/,2026-01,0.0
/-/-/-/-/-/-/-/-/-/-/,2026-03,0.0
/-/-/-/-/-/-/-/-/-/-/,2026-04,0.0
/-/-/-/-/-/-/-/-/-/-/,2026-05,0.0
/.well-known/apple-app-site-association,2026-01,0.0
/.well-known/nodeinfo,2026-01,0.0
/.well-known/nodeinfo/,2026-01,0.0
/.well-known/openid-configuration,2026-01,0.0
/.well-known/openid-configuration/,2026-01,0.0
/. I,2026-06,0.0
/. I/,2026-06,0.0
//checkout/,2026-02,0.0
//checkout/,2026-03,0.0
//checkout/,2026-04,0.0
//checkout/,2026-05,0.0
//checkout/,2026-07,0.0
//vision-emprendedora-2023/,2026-01,0.0
//vision-emprendedora-2023/,2026-02,0.0
/10mo-aniversario-de-revista-mercado-norte/,2026-01,0.0
/13-claves-como-discutir-con-tu-jefe-y-no-perder-el-empleo/,2026-04,0.0
/13-tips-acerca-de-como-renunciar-a-un-trabajo-sin-quedar-mal/,2026-04,0.0
/15-de-marzo-dia-mundial-de-los-derechos-del-consumidor/,2026-04,0.0
/15779-2/,2026-04,0.0
/16340-2/,2026-03,0.0
/17074-2/,2026-01,0.0
/17074-2/,2026-04,0.0
/18698-2/,2026-01,0.0
/19140-2/,2026-01,0.0
/19411-2/,2026-01,0.0
/2004/01/el-regimen-legal-de-condominios-en-la-republica-dominicana/,2026-02,0.0
/2004/01/el-regimen-legal-de-condominios-en-la-republica-dominicana/,2026-03,0.0
/2005/01/mckinsey-company,2026-05,0.0
/2005/01/mckinsey-company/,2026-05,0.0
/2005/04/laboratorios-lam/,2026-01,0.0
/2007/01/jorge-prats-abogados/,2026-01,0.0
/2008/01/la-retencion-de-personal-como-fuente-de-reclutamiento/,2026-05,0.0
/2008/08/frank-el-conquistador,2026-05,0.0
/2008/08/frank-el-conquistador/,2026-02,0.0
/2008/08/frank-el-conquistador/,2026-03,0.0
/2008/08/frank-el-conquistador/,2026-04,0.0
/2008/08/frank-el-conquistador/,2026-05,0.0
/2008/08/frank-el-conquistador/,2026-06,0.0
/2008/11/happyland,2026-06,0.0
/2008/11/happyland/,2026-01,0.0
/2008/11/happyland/,2026-03,0.0
/2008/11/happyland/,2026-04,0.0
/2009/06/la-ventaja-competitiva-a-traves-de-la-gestion-de-recursos-humanos,2026-05,0.0
/2010/04/fernando-darder-“lo-que-mas-nos-han-agradecido-en-haiti-es-el-apoyo-moral,2026-05,0.0
/2010/10/sony-ericsson-le-apuesta-al-android,2026-06,0.0
/2010/11/el-impacto-de-la-comunidad-china-en-republica-dominicana/ano-nuevo-2/,2026-04,0.0
/2010/12/guia-rapida-de-comunicacion-de-crisis/,2026-07,0.0
/2010/12/millennials-o-hijos-del-milenio,2026-06,0.0
/2011/01/el-pais-se-contagia-con-la-fiebre-en-la-inversion-bursatil/,2026-01,0.0
/2011/02/7-tips-exito-administrativo/7-tips/,2026-02,0.0
/2011/02/a-pesar-de-aumento-en-la-ventas-cemex-reporta-perdidas,2026-07,0.0
/2011/02/los-triunfos-de-tina-brown,2026-07,0.0
/2011/02/los-triunfos-de-tina-brown/,2026-04,0.0
/2011/02/los-triunfos-de-tina-brown/,2026-07,0.0
/2011/02/tecnologia-para-cinefilos-empedernidos,2026-07,0.0
/2011/03/la-epoca-de-los-hombres-que-se-cuidan,2026-05,0.0
/2011/04/el-cafe-en-capsulas-presenta-mas-niveles-de-compuesto-cancerigeno/,2026-01,0.0
/2011/04/volkswagen-cumple-50-anos-de-cotizacion-en-bolsa/,2026-02,0.0
/2011/04/¿y-quien-es-el-tal-velutini,2026-06,0.0
/2011/04/¿y-quien-es-el-tal-velutini/,2026-06,0.0
/2011/05/banesco-llega-a-republica-dominicana/,2026-01,0.0
/2011/05/google-enfrenta-pago-de-500-millones-de-dolares/,2026-02,0.0
/2011/05/las-claves-para-manejar-el-estres/,2026-01,0.0
/2011/05/las-claves-para-manejar-el-estres/,2026-02,0.0
/2011/06/15-minutos-diarios-de-telefonia-movil-hacen-dano/young-girls-operating-cell-phones-with-a-young-boy-10-14-standing-behind-them,2026-06,0.0
/2011/06/50-mejores-empresas-para-trabajar,2026-05,0.0
/2011/06/50-mejores-empresas-para-trabajar/,2026-01,0.0
/2011/06/50-mejores-empresas-para-trabajar/,2026-03,0.0
/2011/06/50-mejores-empresas-para-trabajar/,2026-04,0.0
/2011/06/50-mejores-empresas-para-trabajar/,2026-06,0.0
/2011/09/falcondo-xstrata-nickel-maxima-eficiencia-con-un-funcionamiento-al-50,2026-07,0.0
/2011/09/no-pierda-tiempo-y-sea-organizado/,2026-01,0.0
/2011/10/barcelo-y-brugal-alegran-el-mundo-entero,2026-06,0.0
/2011/10/barcelo-y-brugal-alegran-el-mundo-entero/,2026-06,0.0
/2011/10/como-se-benefician-las-organizaciones-con-los-habitos-de-la-generacion-del-milenio/,2026-03,0.0
/2011/10/deuda-publica-un-mal-que-nos-atane-como-pais,2026-05,0.0
/2011/10/deuda-publica-un-mal-que-nos-atane-como-pais/,2026-05,0.0
/2011/10/estretagia-retiran-campana-de-lancome-por-exceso-de-photoshop/,2026-02,0.0
/2011/10/geo-marketing-politico-para-las-proximas-elecciones,2026-07,0.0
/2011/11/la-desmaterializacion-de-los-titulos-valores/,2026-01,0.0
/2011/11/la-desmaterializacion-de-los-titulos-valores/,2026-02,0.0
/2011/11/la-prueba-de-fuego-del-bravo/,2026-06,0.0
/2011/11/¿quien-y-que-es-un-empresario,2026-05,0.0
/2011/11/¿quien-y-que-es-un-empresario/,2026-01,0.0
/2011/11/¿quien-y-que-es-un-empresario/,2026-05,0.0
/2012/01/ahora-samsung-roba-una-modelo-a-apple,2026-06,0.0
/2012/02/porsche-eleva-en-4-8-sus-ventas-mundiales/,2026-04,0.0
