ruta,fecha_real,autor,titulo,seccion,mes,vistas,clics_search,clics_discover,clics_news,trafico_total,posicion,impresiones_search
/empresas/sport-business/medallero-juegos-centroamericanos-2026-en-vivo,2026-08-04 23:16:32,Edwin Lozada,"🔴 Medallero Santo Domingo 2026 EN VIVO hoy, 8 de agosto | Así terminó RD",sport business,2026-08,17612.0,15193.0,2778.0,27.0,35610.0,5.75,327401.0
/money-invest/daily-news/cuantas-provincias-tendria-republica-dominicana-con-la-creacion-de-santa-lucia-y-matias-ramon-mella,2026-08-11 21:15:46,Andrea Mercedes,Cuántas provincias tendría República Dominicana con la creación de Santa Lucía y Matías Ramón Mella,daily news,2026-08,10465.0,7.0,916.0,0.0,11388.0,8.07,779.0
/empresas/sport-business/cuantas-medallas-suma-republica-dominicana-y-en-que-puesto-esta-en-los-juegos-centroamericanos,2026-08-06 15:58:23,Elba Reyes,¿Cuántas medallas ganó República Dominicana en los Juegos Centroamericanos 2026 y en qué puesto terminó?,sport business,2026-08,7464.0,3146.0,15.0,2.0,10627.0,4.54,94225.0
/empresas/sport-business/cuantas-medallas-republica-dominicana-juegos-centroamericanos-2026,2026-08-05 15:07:19,Edwin Lozada,¿Cuántas medallas lleva República Dominicana en los Juegos Centroamericanos 2026?,sport business,2026-08,7268.0,2818.0,211.0,2.0,10299.0,3.81,79468.0
/money-invest/daily-news/como-funcionara-el-recorrido-directo-en-el-metro-de-santo-domingo-tras-eliminar-la-transferencia-en-la-estacion-maria-montez,2026-08-10 17:11:12,Andrea Mercedes,Cómo funcionará el recorrido directo en el Metro de Santo Domingo tras eliminar la transferencia en la estación María Montez,daily news,2026-08,5719.0,71.0,2663.0,12.0,8465.0,5.65,3079.0
/actualidad/temblor-colombia-hoy-10-agosto-2026-magnitud-epicentro,2026-08-10 12:49:56,Edwin Lozada,"Temblor en Colombia hoy: fuerte sismo de magnitud 7,4 sacudió al país este 10 de agosto",actualidad,2026-08,5837.0,2088.0,0.0,1.0,7926.0,3.23,68692.0
/money-invest/daily-news/cinturon-fuego-pacifico-paises-terremotos,2026-08-15 02:50:55,Edwin Lozada,Cinturón de Fuego del Pacífico: qué países lo integran y por qué ocurren tantos terremotos,daily news,2026-08,6959.0,0.0,0.0,0.0,6959.0,,
/technology/devices/todo-sobre-el-iphone-18-pro-y-iphone-18-pro-max-filtraciones-chip-de-2nm-camaras-y-precio-estimado,2026-08-10 16:30:15,Elba Reyes,"Todo sobre el iPhone 18 Pro y iPhone 18 Pro Max: Filtraciones, chip de 2nm, cámaras y precio estimado",devices,2026-08,4755.0,2120.0,2.0,2.0,6879.0,3.76,67334.0
/money-invest/daily-news/terremoto-indonesia-hoy-14-agosto-2026,2026-08-15 01:27:42,Edwin Lozada,"Terremoto en Indonesia hoy, 14 de agosto: sismo de magnitud 7,7 activa alerta de tsunami",daily news,2026-08,6708.0,0.0,0.0,0.0,6708.0,,
/actualidad/resultados-de-leidsa-del-sabado-1-de-agosto-de-2026-en-republica-dominicana,2026-08-02 13:01:02,Andrea Mercedes,Resultados de Leidsa del sábado 1 de agosto de 2026 en República Dominicana,actualidad,2026-08,5049.0,1419.0,0.0,0.0,6468.0,4.44,11970.0
