autor,titulo,seccion,fecha,es_sindicado,error,ruta,vistas
Edwin Lozada,"🔴 Medallero Santo Domingo 2026 EN VIVO hoy, 5 de agosto | ¿Cómo va RD?",sport business,2026-08-04T19:16:32-04:00,False,,/empresas/sport-business/medallero-juegos-centroamericanos-2026-en-vivo/,30497
Jhojhanni Fiorini,"¿Quién ganará la Copa del Mundo? Las probabilidades de Argentina, Inglaterra y España según Opta",sport business,2026-07-15T16:38:32-04:00,False,,/empresas/sport-business/quien-ganara-la-copa-del-mundo-las-probabilidades-de-argentina-inglaterra-y-espana-segun-opta/,18130
Andrea Mercedes,Monorriel de Santo Domingo: Así conectará al Distrito Nacional con SDE en 18 minutos,daily news,2026-07-02T14:42:25-04:00,False,,/money-invest/daily-news/monorriel-de-santo-domingo-asi-conectara-al-distrito-nacional-con-sde-en-18-minutos/,14996
Andrea Mercedes,¿Cuánto pagarás por una transferencia? Bancos explican como funciona el nuevo impuesto de 0.20%,daily news,2026-07-03T11:14:38-04:00,False,,/money-invest/daily-news/cuanto-pagaras-por-una-transferencia-bancos-explican-como-funciona-el-nuevo-impuesto-de-0-20/,14967
Andrea Mercedes,¿Cómo funciona el aislamiento de base? La tecnología sísmica que Venezuela y el Caribe necesitan implementar,daily news,2026-07-15T17:51:19-04:00,False,,/money-invest/daily-news/aislamiento-base-tecnologia-edificios-antisismicos/,11185
Jhojhanni Fiorini,Fortuna de Gianni Infantino: cuánto gana el presidente de la FIFA y cómo construyó su patrimonio antes del Mundial 2026,sport business,2026-06-30T15:16:56-04:00,False,,/empresas/sport-business/fortuna-de-gianni-infantino-cuanto-gana-el-presidente-de-la-fifa-y-como-construyo-su-patrimonio-antes-del-mundial-2026/,10496
Andrea Mercedes,Mundial 2030 y 2034: dónde y cuándo se jugarán las próximas ediciones de la Copa del Mundo,sport business,2026-06-11T17:43:45-04:00,False,,/money-invest/daily-news/mundial-2030-y-2034-donde-y-cuando-se-jugaran-las-proximas-ediciones-de-la-copa-del-mundo/,9992
Elba Reyes,"iPhone 18: Filtraciones revelan su precio, cambios en las cámaras y fecha de lanzamiento",devices,2026-07-23T17:36:04-04:00,False,,/technology/devices/iphone-18-filtraciones-revelan-su-precio-cambios-en-las-camaras-y-fecha-de-lanzamiento/,9335
Edwin Lozada,Por qué España no conservará el trofeo original del Mundial 2026,sport business,2026-07-19T18:33:29-04:00,False,,/money-invest/daily-news/espana-trofeo-original-mundial-2026/,9209
Elba Reyes,"Mundial 2026: así quedó el cuadro de los Cuartos de Final tras los octavos, fecha y hora para ver los partidos",sport business,2026-07-07T11:02:23-04:00,False,,/empresas/sport-business/mundial-2026-asi-quedo-el-cuadro-de-los-cuartos-de-final-tras-los-octavos-fecha-y-hora-para-ver-los-partidos/,8436
Jhojhanni Fiorini,Resultados de las loterías del 26 de julio de 2026 en República Dominicana,actualidad,2026-07-27T09:14:42-04:00,False,,/actualidad/resultados-de-las-loterias-del-26-de-julio-de-2026-en-republica-dominicana/,7781
Elba Reyes,iPhone 18 Pro Max: Las 20 funciones y especificaciones filtradas antes de su lanzamiento,devices,2026-07-27T17:03:28-04:00,False,,/technology/devices/iphone-18-pro-max-las-20-funciones-y-especificaciones-filtradas-antes-de-su-lanzamiento/,7611
Andrea Mercedes,¿Qué famosos murieron en el terremoto de Venezuela? Lista de artistas afectados y desaparecidos,daily news,2026-06-29T11:11:28-04:00,False,,/money-invest/daily-news/que-famosos-murieron-en-el-terremoto-de-venezuela-lista-de-artistas-afectados-y-desaparecidos/,7173
Elba Reyes,El iPhone 18 Pro Max tendría cuatro cámaras: Las novedades del próximo teléfono de Apple,devices,2026-07-13T16:45:13-04:00,False,,/technology/devices/el-iphone-18-pro-max-tendria-cuatro-camaras-las-novedades-del-proximo-telefono-de-apple/,6324
Jhojhanni Fiorini,¿Cuándo sale el iPhone 18 y qué cambios traerá el nuevo teléfono de Apple?,devices,2026-07-22T05:11:25-04:00,False,,/technology/devices/cuando-sale-el-iphone-18-y-que-cambios-traera-el-nuevo-telefono-de-apple/,6278
Elba Reyes,¿Cómo será el iPhone 18 Pro? Todo sobre las polémicas modificaciones físicas que planea Apple,devices,2026-07-14T17:31:18-04:00,False,,/technology/devices/como-sera-el-iphone-18-pro-todo-sobre-las-polemicas-modificaciones-fisicas-que-planea-apple/,5743
Andrea Mercedes,Resultados de Leidsa del miércoles 1 de julio de 2026 en República Dominicana,actualidad,2026-07-02T10:01:06-04:00,False,,/actualidad/resultados-de-leidsa-del-miercoles-1-de-julio-de-2026-en-republica-dominicana/,5457
Andrea Mercedes,¿Qué es la Autopista del Ámbar? Así será la obra que conectará Santiago y Puerto Plata,daily news,2026-07-13T11:54:12-04:00,False,,/money-invest/daily-news/autopista-ambar-santiago-puerto-plata-rd/,5325
Elba Reyes,Resultados de Leidsa del sábado 18 de julio de 2026 en República Dominicana,actualidad,2026-07-19T12:55:08-04:00,False,,/actualidad/resultados-de-leidsa-del-sabado-18-de-julio-de-2026-en-republica-dominicana/,5170
Elba Reyes,Mundial 2026 ¿Por qué piden repetir la final del Mundial entre Argentina y Francia?,actualidad,2026-07-22T12:44:32-04:00,False,,/actualidad/mundial-2026-por-que-piden-repetir-la-final-del-mundial-entre-argentina-y-francia/,5169
Elba Reyes,¿De quién son las Malvinas realmente? Las claves para entender la disputa entre Argentina y el Reino Unido,daily news,2026-07-16T13:13:52-04:00,False,,/money-invest/daily-news/de-quien-son-las-malvinas-realmente-las-claves-para-entender-la-disputa-entre-argentina-y-el-reino-unido/,5140
Elba Reyes,¿Quién ganará la Copa del Mundo 2026? Así marcha el power ranking de selecciones en los cuartos de final,sport business,2026-07-10T15:41:10-04:00,False,,/empresas/sport-business/quien-ganara-la-copa-del-mundo-2026-asi-marcha-el-power-ranking-de-selecciones-en-los-cuartos-de-final/,5111
Elba Reyes,Mundial 2026: así quedó el cuadro de los octavos de final tras los últimos resultados,sport business,2026-07-03T11:59:24-04:00,False,,/empresas/sport-business/mundial-2026-asi-quedo-el-cuadro-de-los-octavos-de-final-tras-los-ultimos-resultados/,4631
Andrea Mercedes,"¿Cuántos partidos le quedan al Mundial 2026? Fechas, horarios y el calendario oficial de la fase final",sport business,2026-07-08T17:47:57-04:00,False,,/money-invest/daily-news/cuantos-partidos-le-quedan-al-mundial-2026-fechas-horarios-y-el-calendario-oficial-de-la-fase-final/,4367
Jhojhanni Fiorini,Resultados de las loterías del 29 de junio de 2026 en República Dominicana,actualidad,2026-06-30T10:21:54-04:00,False,,/actualidad/resultados-de-las-loterias-del-29-de-junio-de-2026-en-republica-dominicana-2/,4272
Andrea Mercedes,Resultados de Leidsa del miércoles 22 de julio de 2026 en República Dominicana,actualidad,2026-07-23T08:28:52-04:00,False,,/actualidad/resultados-de-leidsa-del-miercoles-22-de-julio-de-2026-en-republica-dominicana/,4177
Jhojhanni Fiorini,Resultados de las loterías del 12 de julio de 2026 en República Dominicana,actualidad,2026-07-13T09:41:33-04:00,False,,/actualidad/resultados-de-las-loterias-del-12-de-julio-de-2026-en-republica-dominicana/,4160
