mes,autor,notas,trafico,eficiencia,posicion_promedio,notas_top10,notas_con_posicion
2026-08,Ana Sosa,45,7475.028571428571,135.0,5.7,30.0,37.0
2026-08,Andrea Mercedes,185,99389.74285714286,417.0,5.7,141.0,143.0
2026-08,Darling Gil,28,5410.971428571429,119.0,11.5,9.0,15.0
2026-08,Edwin Lozada,28,70601.54285714286,2469.0,4.8,27.0,27.0
2026-08,Elba Reyes,202,188524.6285714286,676.0,4.7,176.0,180.0
2026-08,Gabriel Rico Albarrán,61,8094.342857142857,99.0,5.1,52.0,56.0
2026-08,Jhojhanni Fiorini,164,86041.45714285714,339.0,6.9,129.0,135.0
2026-08,Karime Rivas,33,7937.885714285714,139.0,6.3,28.0,30.0
2026-08,Miguel Vega,18,1922.857142857143,61.0,4.3,17.0,17.0
2026-08,Miranda Cross,9,729.0571428571428,78.0,7.6,8.0,8.0
2026-08,Rodrigo Muñoz,36,7852.142857142857,77.0,5.5,28.0,30.0
