rank,ruta,vistas,tiempo_interaccion_seg,clics_search,impresiones_search,posicion,clics_discover,impresiones_discover,clics_news,impresiones_news,canal_dominante,pct_canal_dominante
1,/empresas/sport-business/medallero-juegos-centroamericanos-2026-en-vivo/,18833,39.29867785270536,10045.0,156498.0,4.7,2778.0,43118.0,19.0,214.0,search,78.2
2,/,13607,35.79187183067539,916.0,8119.0,5.84,0.0,0.0,0.0,0.0,search,100.0
3,/empresas/sport-business/quien-ganara-la-copa-del-mundo-las-probabilidades-de-argentina-inglaterra-y-espana-segun-opta/,10994,33.95370201928325,8257.0,611982.0,3.84,0.0,0.0,2.0,79.0,search,100.0
4,/money-invest/daily-news/monorriel-de-santo-domingo-asi-conectara-al-distrito-nacional-con-sde-en-18-minutos/,9921,72.92127809696603,38.0,1545.0,7.01,7833.0,171078.0,0.0,7.0,discover,99.5
5,/autoshow-and-vision-emprendedora-2026/,9912,57.88367635189669,25.0,251.0,5.18,0.0,0.0,0.0,0.0,search,100.0
6,/money-invest/daily-news/cuanto-pagaras-por-una-transferencia-bancos-explican-como-funciona-el-nuevo-impuesto-de-0-20/,9743,38.02381196756646,979.0,40499.0,4.59,6246.0,48542.0,8.0,47.0,discover,86.4
7,/money-invest/daily-news/aislamiento-base-tecnologia-edificios-antisismicos/,7422,95.38992185394773,19.0,1738.0,7.31,5838.0,115152.0,12.0,710.0,discover,99.5
8,/suscribe/,7404,17.07752566180443,16.0,1150.0,3.08,0.0,0.0,0.0,0.0,search,100.0
9,/empresas/sport-business/fortuna-de-gianni-infantino-cuanto-gana-el-presidente-de-la-fifa-y-como-construyo-su-patrimonio-antes-del-mundial-2026/,6326,73.2813784381916,4543.0,292496.0,5.17,0.0,0.0,2.0,12.0,search,100.0
10,/money-invest/daily-news/mundial-2030-y-2034-donde-y-cuando-se-jugaran-las-proximas-ediciones-de-la-copa-del-mundo/,5741,70.86413516808918,2944.0,260369.0,7.13,0.0,0.0,0.0,5.0,search,100.0
11,/p/codigo-postal-santo-domingo/,5740,17.220905923344947,4097.0,263803.0,4.21,0.0,0.0,0.0,0.0,search,100.0
12,/empresas/sport-business/mundial-2026-asi-quedo-el-cuadro-de-los-cuartos-de-final-tras-los-octavos-fecha-y-hora-para-ver-los-partidos/,5418,40.8453303802141,2798.0,364044.0,4.41,0.0,0.0,1.0,8.0,search,100.0
13,/money-invest/daily-news/espana-trofeo-original-mundial-2026/,4962,90.30169286577993,3783.0,69919.0,4.79,0.0,0.0,0.0,2.0,search,100.0
14,/money-invest/daily-news/que-famosos-murieron-en-el-terremoto-de-venezuela-lista-de-artistas-afectados-y-desaparecidos/,4567,88.95445587913291,2899.0,34587.0,4.81,0.0,0.0,9.0,51.0,search,99.7
15,/p/codigo-postal-santo-domingo-este/,4016,29.053535856573703,2988.0,107203.0,5.42,0.0,0.0,0.0,0.0,search,100.0
16,/actualidad/resultados-de-las-loterias-del-26-de-julio-de-2026-en-republica-dominicana/,3921,4.663606222902321,2972.0,453473.0,7.37,0.0,0.0,0.0,0.0,search,100.0
17,/money-invest/daily-news/autopista-ambar-santiago-puerto-plata-rd/,3426,91.71336835960304,93.0,4015.0,6.43,2418.0,42547.0,4.0,100.0,discover,96.1
18,/actualidad/mundial-2026-por-que-piden-repetir-la-final-del-mundial-entre-argentina-y-francia/,3273,28.736327528261533,2367.0,202745.0,6.0,1.0,34.0,1.0,36.0,search,99.9
19,/money-invest/daily-news/de-quien-son-las-malvinas-realmente-las-claves-para-entender-la-disputa-entre-argentina-y-el-reino-unido/,3159,114.2352010129788,2041.0,345332.0,6.99,0.0,0.0,1.0,11.0,search,100.0
20,/actualidad/resultados-de-leidsa-del-miercoles-1-de-julio-de-2026-en-republica-dominicana/,3072,25.324544270833332,2392.0,93608.0,7.14,0.0,0.0,0.0,4.0,search,100.0
21,/empresas/sport-business/quien-ganara-la-copa-del-mundo-2026-asi-marcha-el-power-ranking-de-selecciones-en-los-cuartos-de-final/,3042,65.51446416831033,2288.0,157564.0,5.33,0.0,0.0,5.0,27.0,search,99.8
22,/empresas/sport-business/mundial-2026-asi-quedo-el-cuadro-de-los-octavos-de-final-tras-los-ultimos-resultados/,2847,38.49771689497717,2095.0,144383.0,6.22,0.0,0.0,3.0,31.0,search,99.9
23,/actualidad/resultados-de-leidsa-del-sabado-18-de-julio-de-2026-en-republica-dominicana/,2806,25.08660014255167,2264.0,50623.0,6.05,0.0,0.0,0.0,2.0,search,100.0
24,/actualidad/por-que-los-dias-en-la-tierra-pasaran-a-durar-25-horas-y-a-partir-de-que-fecha-segun-la-ciencia/,2776,54.001801152737755,1937.0,148921.0,4.61,0.0,0.0,7.0,187.0,search,99.6
25,/money-invest/daily-news/cuantos-partidos-le-quedan-al-mundial-2026-fechas-horarios-y-el-calendario-oficial-de-la-fase-final/,2724,62.5363436123348,1999.0,696817.0,7.74,0.0,0.0,0.0,9.0,search,100.0
26,/events/,2624,47.20236280487805,261.0,2680.0,5.2,0.0,0.0,0.0,0.0,search,100.0
27,/actualidad/resultados-de-las-loterias-del-12-de-julio-de-2026-en-republica-dominicana/,2566,22.402182385035076,1852.0,694656.0,6.63,0.0,0.0,3.0,21.0,search,99.8
28,/actualidad/resultados-de-leidsa-del-miercoles-22-de-julio-de-2026-en-republica-dominicana/,2417,23.884153909805544,1649.0,101994.0,7.24,0.0,0.0,0.0,4.0,search,100.0
29,/actualidad/resultados-de-las-loterias-del-02-de-julio-de-2026-en-republica-dominicana/,2364,21.13917089678511,1499.0,533631.0,7.54,0.0,0.0,0.0,17.0,search,100.0
30,/mejores-empresas-para-trabajar-2026/,2358,47.17260390161154,330.0,2157.0,2.93,0.0,0.0,0.0,0.0,search,100.0
31,/actualidad/resultados-de-las-loterias-del-28-de-julio-de-2026-en-republica-dominicana/,2350,24.84212765957447,1545.0,318828.0,7.94,0.0,0.0,2.0,7.0,search,99.9
32,/empresas/sport-business/el-equipo-ideal-del-mundial-2026-los-jugadores-elegidos-por-la-fifa/,2303,50.17759444203213,1636.0,25756.0,5.22,0.0,0.0,10.0,112.0,search,99.4
33,/actualidad/resultados-de-leidsa-del-miercoles-29-de-julio-de-2026-en-republica-dominicana/,2265,22.63355408388521,1789.0,129553.0,6.72,0.0,0.0,1.0,1.0,search,99.9
34,/money-invest/daily-news/abinader-promulga-la-reforma-fiscal-estas-son-las-principales-medidas-de-la-ley-30-26/,2256,124.8665780141844,1041.0,16564.0,3.98,0.0,0.0,11.0,157.0,search,99.0
35,/actualidad/quienes-son-los-favoritos-para-ganar-el-balon-de-oro-2026-y-cuales-son-sus-estadisticas/,2254,65.05013309671695,1696.0,83704.0,5.02,0.0,79.0,2.0,17.0,search,99.9
36,/empresas/sport-business/mundial-de-futbol-2030-donde-se-jugara-sedes-confirmadas-y-cuando-empieza-el-torneo-centenario/,2246,76.3793410507569,1587.0,183435.0,4.94,9.0,149.0,3.0,25.0,search,99.2
37,/money-invest/daily-news/monorriel-santo-domingo-cambia-ruta-nuevo-trazado/,2161,106.84035168903286,59.0,1700.0,6.8,1527.0,25535.0,0.0,10.0,discover,96.3
38,/actualidad/resultados-de-las-loterias-del-29-de-junio-de-2026-en-republica-dominicana-2/,2077,3.8199325950890706,1491.0,151746.0,7.25,0.0,0.0,2.0,14.0,search,99.9
39,/actualidad/resultados-de-las-loterias-del-07-de-julio-de-2026-en-republica-dominicana/,2034,27.833333333333332,1349.0,532475.0,6.62,0.0,0.0,0.0,11.0,search,100.0
40,/actualidad/resultados-de-las-loterias-del-15-de-julio-de-2026-en-republica-dominicana/,2023,25.277310924369747,1220.0,311915.0,6.86,0.0,0.0,0.0,4.0,search,100.0
41,/actualidad/resultados-de-las-loterias-del-09-de-julio-de-2026-en-republica-dominicana/,2020,25.314356435643564,1262.0,251941.0,7.58,0.0,0.0,2.0,28.0,search,99.8
42,/actualidad/resultados-de-las-loterias-del-05-de-julio-de-2026-en-republica-dominicana/,1989,22.52790346907994,1331.0,612389.0,6.93,0.0,0.0,0.0,41.0,search,100.0
43,/actualidad/cierres-viales-por-el-tunel-de-la-plaza-de-la-bandera-rutas-alternas-y-desvios-hoy/,1964,55.40631364562118,29.0,1355.0,6.68,1529.0,29004.0,0.0,57.0,discover,98.1
44,/actualidad/resultados-de-leidsa-del-sabado-11-de-julio-de-2026-en-republica-dominicana/,1924,24.20010395010395,1545.0,40416.0,6.26,0.0,0.0,0.0,1.0,search,100.0
45,/actualidad/resultados-de-leidsa-del-sabado-27-de-junio-de-2026/,1767,29.89983022071307,1343.0,19494.0,6.35,0.0,0.0,0.0,0.0,search,100.0
46,/form-autoshow-and-vision-emprendedora/,1767,57.77475947934352,0.0,0.0,,0.0,0.0,0.0,0.0,(sin datos GSC),
47,/actualidad/resultados-de-leidsa-del-miercoles-15-de-julio-de-2026-en-republica-dominicana/,1755,26.23646723646724,1331.0,47213.0,6.93,0.0,0.0,0.0,1.0,search,100.0
48,/event-detail/agrotech-summit-2/,1724,36.379930394431554,26.0,75.0,3.24,0.0,0.0,0.0,0.0,search,100.0
49,/actualidad/resultados-de-las-loterias-del-06-de-julio-de-2026-en-republica-dominicana/,1717,25.419336051252184,1222.0,307219.0,6.71,0.0,0.0,1.0,11.0,search,99.9
50,/money-invest/daily-news/japon-predijo-el-terremoto-de-venezuela-el-informe-de-hace-20-anos-que-el-gobierno-ignoro/,1699,81.87992937021778,1045.0,17502.0,3.86,0.0,0.0,0.0,11.0,search,100.0
51,/actualidad/resultados-de-las-loterias-del-19-de-julio-de-2026-en-republica-dominicana/,1676,23.97673031026253,903.0,348505.0,6.29,0.0,0.0,1.0,8.0,search,99.9
52,/money-invest/daily-news/records-espana-campeona-mundial-2026-2/,1672,72.32117224880383,1136.0,70105.0,4.64,0.0,0.0,0.0,2.0,search,100.0
53,/actualidad/partidos-del-mundial-2026-hoy-martes-7-de-julio-horarios-y-donde-ver-futbol-en-vivo/,1656,20.309782608695652,1172.0,140569.0,5.24,0.0,0.0,1.0,7.0,search,99.9
54,/money-invest/daily-news/expertos-advierten-gran-terremoto-republica-dominicana/,1625,88.6996923076923,1104.0,26048.0,5.99,0.0,0.0,2.0,19.0,search,99.8
55,/actualidad/resultados-de-las-loterias-del-28-de-junio-de-2026-en-republica-dominicana/,1591,22.163419233186676,832.0,333574.0,7.65,1.0,22.0,1.0,49.0,search,99.8
56,/money-invest/daily-news/tiembla-el-caribe-lo-que-se-sabe-de-los-temblores-registrados-en-la-zona-sur-de-rd/,1473,55.184657162253906,674.0,55737.0,6.42,0.0,0.0,1.0,118.0,search,99.9
57,/actualidad/resultados-de-las-loterias-del-13-de-julio-de-2026-en-republica-dominicana/,1468,28.49795640326975,1001.0,172020.0,7.4,0.0,0.0,1.0,10.0,search,99.9
58,/empresas/sport-business/cuanto-dinero-gana-el-campeon-del-mundial-2026-el-millonario-premio-de-la-fifa-bajo-la-lupa/,1431,76.79245283018868,936.0,180075.0,4.95,0.0,0.0,2.0,28.0,search,99.8
59,/actualidad/hay-escena-post-creditos-en-la-odisea-esto-debes-saber-antes-de-salir-del-cine/,1409,19.29098651525905,991.0,85578.0,5.65,0.0,0.0,0.0,2.0,search,100.0
60,/actualidad/resultados-de-leidsa-del-sabado-25-de-julio-de-2026-en-republica-dominicana/,1362,25.93906020558003,1077.0,52317.0,6.72,0.0,0.0,0.0,0.0,search,100.0
61,/money-invest/daily-news/renuncia-gianni-infantino-escandalo-fifa-trump-mundial-2026/,1280,58.30390625,749.0,63480.0,5.7,0.0,0.0,10.0,244.0,search,98.7
62,/money-invest/daily-news/caida-de-altice-hoy-en-republica-dominicana-que-pasa-con-las-llamadas-e-internet/,1275,52.98980392156863,776.0,29766.0,4.97,0.0,14.0,1.0,48.0,search,99.9
63,/empresas/sport-business/agenda-hoy-juegos-centroamericanos-santo-domingo-2026/,1269,64.5224586288416,560.0,20348.0,4.84,217.0,4182.0,8.0,137.0,search,71.3
64,/actualidad/resultados-de-leidsa-del-miercoles-8-de-julio-de-2026-en-republica-dominicana/,1261,26.567010309278352,933.0,6719.0,2.86,0.0,0.0,0.0,87.0,search,100.0
65,/empresas/cuando-sale-el-samsung-galaxy-s27-cuanto-costara-y-que-cambios-trae/,1180,66.44830508474577,852.0,76618.0,5.9,0.0,0.0,1.0,38.0,search,99.9
66,/money-invest/daily-news/como-ver-juegos-centroamericanos-santo-domingo-2026-rd/,1178,68.69354838709677,715.0,36790.0,5.22,0.0,0.0,0.0,5.0,search,100.0
67,/actualidad/calendario-lunar-julio-2026-mejores-dias-para-cortarse-el-cabello-y-depilarse/,1177,49.16652506372132,754.0,62236.0,6.75,0.0,0.0,0.0,9.0,search,100.0
68,/money-invest/daily-news/elecciones-presidenciales-en-brasil-2026-quien-va-ganando-entre-lula-y-bolsonaro/,1161,75.03186907838071,687.0,15635.0,5.9,0.0,0.0,0.0,4.0,search,100.0
69,/empresas/sport-business/cuanto-dinero-gana-una-seleccion-por-clasificar-a-octavos-de-final-del-mundial-2026/,1129,65.48361381753764,754.0,90585.0,5.17,0.0,0.0,1.0,13.0,search,99.9
70,/empresas/sport-business/juegos-centroamericanos-santo-domingo-2026-dominicanos-que-compiten-hoy-y-sus-horarios/,1128,52.56117021276596,845.0,38211.0,4.96,1.0,23.0,0.0,11.0,search,99.9
71,/actualidad/a-que-hora-empieza-la-inauguracion-de-los-juegos-centroamericanos-santo-domingo-2026-y-donde-verla-en-rd/,1099,48.37306642402184,717.0,18749.0,4.5,0.0,0.0,0.0,5.0,search,100.0
72,/empresas/sport-business/cuadro-de-octavos-de-final-del-mundial-2026-partidos-cruces-y-fechas-confirmadas/,1085,40.76866359447005,744.0,39258.0,4.78,0.0,0.0,0.0,5.0,search,100.0
73,/money-invest/daily-news/el-monorriel-de-santo-domingo-y-el-sistema-de-santiago-lideraran-el-presupuesto-de-2027/,1051,46.935299714557566,0.0,0.0,,850.0,18605.0,0.0,12.0,discover,100.0
74,/money-invest/daily-news/ciudad-aeropuerto-jorge-chavez-lima-40-millones-pasajeros/,1030,52.61456310679612,43.0,5097.0,6.39,696.0,10411.0,2.0,55.0,discover,93.9
75,/empresas/sport-business/mundial-2026-conoce-los-cruces-confirmados-de-los-octavos-de-final-tras-los-partidos-de-hoy/,1029,27.494655004859087,718.0,45464.0,5.9,0.0,0.0,2.0,19.0,search,99.7
76,/money-invest/daily-news/reforma-fiscal-ley-30-26-a-partir-de-que-salario-se-paga-impuesto-y-que-productos-suben-de-precio-en-rd/,1025,121.49073170731708,462.0,16441.0,5.92,27.0,418.0,0.0,0.0,search,94.5
