fecha,vistas,sesiones
2026-08-26,56507,32931
2026-08-25,54916,31610
2026-08-27,50641,30961
2026-07-15,41778,23593
2026-08-20,36399,20153
2026-08-14,36158,20384
2026-07-03,35491,19937
2026-07-28,35439,18508
2026-07-16,35342,19748
2026-07-07,35205,19224
2026-06-30,33849,18224
2026-08-06,33683,17566
2026-07-26,32548,18354
2026-07-20,31980,16943
2026-08-05,31932,16422
2026-08-10,31013,17587
2026-07-27,30188,14906
2026-07-02,30077,15271
2026-07-24,30023,15783
2026-08-15,29896,17683
2026-08-04,29015,15715
2026-08-03,28723,15145
2026-08-12,28548,15847
2026-07-14,28313,14466
2026-07-06,28111,14676
2026-07-29,27890,14779
2026-08-17,27692,15092
2026-07-23,27657,14195
2026-07-01,27190,13893
2026-08-21,26571,14509
2026-08-19,26485,13887
2026-07-05,26239,15954
2026-08-11,26171,13660
2026-07-22,26087,13437
2026-07-13,25849,13406
2026-07-30,25568,13246
2026-08-07,25490,13555
2026-07-17,25354,13636
2026-07-08,25339,13567
2026-08-13,25049,13440
2026-07-09,24608,12444
2026-07-31,24449,12675
2026-07-10,23700,11768
2026-08-01,22955,12351
2026-07-21,22743,11984
2026-08-24,21947,11434
2026-07-04,21754,12483
2026-08-08,21221,11669
2026-08-28,20867,11288
2026-07-19,20773,11476
2026-07-11,20720,11778
2026-07-18,20143,11326
2026-08-18,20083,10504
2026-08-02,18363,10095
2026-08-22,17699,9785
2026-08-16,17020,9706
2026-07-25,16844,9354
2026-08-09,16372,9200
2026-07-12,14794,8256
2026-08-23,14529,7632
