date,pagePath,pageTitle,screenPageViews,totalUsers,sessions,engagementRate,averageSessionDuration
2026-08-28,/actualidad/resultados-de-las-loterias-del-26-de-agosto-de-2026-en-republica-dominicana/,"Resultados de loterías de hoy 26 de agosto: Nacional, Leidsa y más",1324,533,801,0.995006,80.11
2026-08-28,/actualidad/resultados-de-leidsa-del-miercoles-26-de-agosto-de-2026-en-republica-dominicana/,Resultados de Leidsa del miércoles 26 de agosto en RD,874,343,481,0.993763,104.56
2026-08-28,/money-invest/daily-news/tormenta-tropical-dolly-asi-podria-afectar-a-republica-dominicana/,Tormenta tropical Dolly: ¿cómo afectará a República Dominicana?,831,372,513,0.990253,133.80
2026-08-28,/,Revista Mercado. Negocios y economía en República Dominicana,787,261,429,0.955711,178.54
2026-08-28,/events/,Mercado Events: experiencias y eventos de negocios | Mercado,269,77,120,0.983333,309.95
2026-08-28,/p/codigo-postal-santo-domingo/,Código postal en Santo Domingo: consulta la lista,268,112,140,0.992857,119.43
2026-08-28,/event-detail/top-lawyers-3/,Top Lawyers,253,108,135,0.977778,96.79
2026-08-28,/actualidad/resultados-de-las-loterias-del-25-de-agosto-de-2026-en-republica-dominicana/,Resultados de loterías de hoy 25 de agosto 2026,251,96,139,1.000000,133.31
2026-08-28,/technology/devices/filtran-el-posible-precio-del-iphone-18-pro-arrancaria-en-us-1-199-por-el-alza-en-las-memorias/,iPhone 18 Pro: precio estimado y cuánto costaría en 2026,249,113,141,0.978723,163.84
2026-08-28,/money-invest/daily-news/harald-v-como-cambio-la-monarquia-noruega-durante-35-anos-de-reinado/,Harald V de Noruega: ¿qué legado deja tras 35 años en el trono?,231,112,161,0.975155,121.75
2026-08-28,/actualidad/resultados-de-leidsa-del-sabado-22-de-agosto-de-2026-en-republica-dominicana/,Resultados de Leidsa del sábado 22 de agosto en RD,224,80,117,0.982906,100.87
2026-08-28,/actualidad/resultados-de-las-loterias-del-24-de-agosto-de-2026-en-republica-dominicana/,Resultados de loterías de hoy 24 de agosto 2026,207,86,129,0.992248,71.42
2026-08-28,/money-invest/daily-news/haakon-viii-asume-el-trono-de-noruega-tras-la-muerte-del-rey-harald-v/,Muere el rey Harald V de Noruega; Haakon VIII asume el trono - Revista Mercado,205,93,127,0.992126,168.77
2026-08-28,/subscribers-login/,Revista Mercado - Custom Login,198,193,194,1.000000,7.33
2026-08-28,/p/codigo-postal-santo-domingo-este/,Código postal Santo Domingo Este: aquí está la lista completa,193,74,97,1.000000,78.27
2026-08-28,/event-detail/business-forum-usa/,Business Forum USA,188,65,104,0.951923,195.87
2026-08-28,/technology/devices/apple-event-las-pistas-que-apuntan-al-iphone-18-pro-y-al-primer-iphone-plegable/,iPhone 18 Pro y plegable: las pistas del Apple Event,166,84,104,0.923077,78.05
2026-08-28,/technology/devices/revelan-los-cuatro-colores-en-los-que-estara-disponible-la-gama-del-iphone-18/,Colores del iPhone 18 Pro: estos serían los tonos disponibles,142,68,78,0.974359,82.76
2026-08-28,/money-invest/daily-news/eclipse-lunar-de-agosto-de-2026-que-ocurrio-con-la-luna-y-por-que-se-tino-de-rojo/,Eclipse lunar agosto 2026: ¿por qué la Luna se tiñó de rojo?,132,64,94,0.989362,117.08
2026-08-28,/technology/devices/por-que-sale-el-mensaje-de-cuenta-en-revision-en-whatsapp-y-cuanto-tarda-el-bloqueo/,Cuenta en revisión WhatsApp: por qué aparece y cuánto tarda,116,47,70,0.985714,130.51
2026-08-28,/money-invest/daily-news/nueva-cedula-en-rd-que-cambia-con-la-nueva-disposicion-de-la-jce-en-el-proceso-de-renovacion/,JCE acelera la renovación de la nueva cédula antes de 2027,112,52,72,0.986111,92.70
2026-08-28,/money-invest/daily-news/champions-league-2026-2027-como-funcionara-y-que-cambia-para-los-equipos/,Champions League 2026-27: ¿cómo funcionará el nuevo formato?,110,49,63,1.000000,134.04
2026-08-28,/event-detail/agrotech-summit-2/,Agrotech Summit,105,34,52,0.903846,385.02
2026-08-28,/empresas/sport-business/reinas-del-caribe-contra-quienes-les-falta-jugar-para-clasificar-a-los-angeles-2028/,Reinas del Caribe: camino a los Juegos Olímpicos 2028,97,45,63,0.984127,242.94
2026-08-28,/actualidad/eclipse-lunar-de-agosto-en-republica-dominicana-donde-verlo-y-a-que-hora/,Eclipse lunar agosto 2026: hora y dónde verlo en RD,93,34,49,0.959184,244.55
2026-08-28,/suscribe/,Suscripciones - Revista Mercado,83,42,51,0.980392,51.31
2026-08-28,/empresas/sport-business/rodri-barcelona-salario-costo-fichaje/,Rodri al Barcelona: cuánto cobrará y cuánto costó su fichaje,81,37,46,1.000000,95.44
2026-08-28,/actualidad/resultados-de-las-loterias-del-28-de-julio-de-2026-en-republica-dominicana/,Resultados de las loterías del 28 de julio de 2026 en República Dominicana - Revista Mercado,78,29,49,1.000000,101.85
2026-08-28,/money-invest/daily-news/quien-fue-carl-dean-esposo-dolly-parton/,"Quién fue Carl Dean, el esposo de Dolly Parton",77,38,48,0.958333,132.18
2026-08-28,/technology/devices/xiaomi-18-fold-las-nuevas-imagenes-revelan-su-diseno-y-prometen-una-potencia-inedita/,"Xiaomi 18 Fold: diseño, cámaras y potencia del nuevo plegable",77,39,50,1.000000,121.55
2026-08-28,/technology/devices/mark-gurman-preve-un-aumento-bastante-modesto-en-el-precio-del-iphone-18-pro/,"Precio del iPhone 18 Pro podría subir a US$1,199",72,31,45,0.933333,178.38
