periodo_inicio,periodo_fin,superficie,seccion,pagina,clics,impresiones,ctr,posicion
2026-07-07,2026-08-10,Search,empresas,https://revistamercado.do/empresas/sport-business/medallero-juegos-centroamericanos-2026-en-vivo/,15181,326667,0.046472,5.75
2026-07-07,2026-08-10,Search,empresas,https://revistamercado.do/empresas/sport-business/quien-ganara-la-copa-del-mundo-las-probabilidades-de-argentina-inglaterra-y-espana-segun-opta/,8258,612930,0.013473,3.85
2026-07-07,2026-08-10,Search,p,https://revistamercado.do/p/codigo-postal-santo-domingo/,4636,302341,0.015334,4.22
2026-07-07,2026-08-10,Search,technology,https://revistamercado.do/technology/devices/iphone-18-filtraciones-revelan-su-precio-cambios-en-las-camaras-y-fecha-de-lanzamiento/,4163,174127,0.023908,5.25
2026-07-07,2026-08-10,Search,money-invest,https://revistamercado.do/money-invest/daily-news/espana-trofeo-original-mundial-2026/,3843,72382,0.053093,4.84
2026-07-07,2026-08-10,Search,technology,https://revistamercado.do/technology/devices/en-que-colores-saldra-el-iphone-18-pro-max-las-filtraciones-del-nuevo-celular/,3843,186915,0.020560,4.93
2026-07-07,2026-08-10,Search,technology,https://revistamercado.do/technology/devices/iphone-18-pro-max-las-20-funciones-y-especificaciones-filtradas-antes-de-su-lanzamiento/,3513,143567,0.024469,3.99
2026-07-07,2026-08-10,Search,actualidad,https://revistamercado.do/actualidad/resultados-de-las-loterias-del-26-de-julio-de-2026-en-republica-dominicana/,3509,461855,0.007598,7.35
2026-07-07,2026-08-10,Search,p,https://revistamercado.do/p/codigo-postal-santo-domingo-este/,3202,121892,0.026269,5.50
2026-07-07,2026-08-10,Search,empresas,https://revistamercado.do/empresas/sport-business/fortuna-de-gianni-infantino-cuanto-gana-el-presidente-de-la-fifa-y-como-construyo-su-patrimonio-antes-del-mundial-2026/,3114,156853,0.019853,4.41
2026-07-07,2026-08-10,Search,empresas,https://revistamercado.do/empresas/sport-business/cuantas-medallas-suma-republica-dominicana-y-en-que-puesto-esta-en-los-juegos-centroamericanos/,3106,90270,0.034408,4.45
