autor,notas,trafico_total,notas_sindicadas,trafico_promedio,secciones_principales
Elba Reyes,321,194788,1,607,"actualidad, automóviles, ciencia y espacio, cover story"
Andrea Mercedes,204,174004,0,853,"actualidad, cambio climático, daily news, empresas"
Jhojhanni Fiorini,210,141644,0,674,"actualidad, artificial intelligence, brand business, brand content"
Edwin Lozada,21,50647,0,2412,"actualidad, daily news, mercado women, money invest"
Ana Sosa,52,9861,49,190,"artificial intelligence, business, empresas, experiencias"
Gabriel Rico Albarrán,35,6034,0,172,"actualidad, daily news, de la revista, empresas"
Rodrigo Muñoz,28,5719,0,204,"actualidad, artificial intelligence, brand business, empresas"
Karime Rivas,33,5676,0,172,"career, executive profiles, leadership, mercado events"
Darling Gil,21,3764,1,179,"brand content, cover story, daily news, empresas"
Miguel Vega,17,3674,1,216,"actualidad, daily news, e-commerce, empresas"
Agatha Thomas,5,1494,0,299,"empresas, lifestyle, technology"
pferreras,2,526,0,263,"medihealth, technology"
Miranda Cross,2,199,0,100,"affairs, retratos"
Ashley Presinal,1,76,0,76,sector fondo de pensiones
