mes,seccion,notas,trafico,eficiencia
2026-08,actualidad,112,106569.91428571429,952.0
2026-08,affairs,3,137.45714285714286,46.0
2026-08,artificial intelligence,3,90.74285714285715,30.0
2026-08,bolsa de valores,2,150.4857142857143,75.0
2026-08,brand content,13,1981.9714285714285,152.0
2026-08,business,28,2964.2,106.0
2026-08,cambio climático,11,1453.1714285714286,132.0
2026-08,career,4,108.2,27.0
2026-08,cover story,3,447.97142857142853,149.0
2026-08,daily news,230,91287.62857142858,397.0
2026-08,de la revista,7,382.42857142857144,55.0
2026-08,devices,50,87269.88571428572,1745.0
2026-08,ediciones especiales,1,62.0,62.0
2026-08,empresas,52,4859.6,93.0
2026-08,executive news,1,247.22857142857143,247.0
2026-08,executive profiles,4,285.0,71.0
2026-08,experiencias,24,6292.971428571428,262.0
2026-08,finanzas,9,886.9428571428572,99.0
2026-08,gestión,4,136.4857142857143,34.0
2026-08,ia + innovation,1,28.97142857142857,29.0
2026-08,instituciones gubernamentales,1,48.74285714285714,49.0
2026-08,internacional,74,8726.371428571429,118.0
2026-08,leadership,13,1830.3428571428572,141.0
2026-08,legal,3,67.74285714285715,23.0
2026-08,lifestyle,5,1238.3714285714284,248.0
2026-08,market brief,4,215.11428571428573,54.0
2026-08,medihealth,3,137.22857142857143,46.0
2026-08,mercado events,1,101.17142857142858,101.0
2026-08,mercado región norte,2,134.45714285714286,67.0
2026-08,mercado women,1,207.74285714285716,208.0
2026-08,política,3,1366.0285714285715,455.0
2026-08,república dominicana,33,4665.628571428571,141.0
2026-08,salud,8,474.14285714285717,59.0
2026-08,sector educación,1,77.48571428571428,77.0
2026-08,sector financiero,1,85.0,85.0
2026-08,sector hotelero,3,508.85714285714283,170.0
2026-08,sector industrias,2,158.0,79.0
2026-08,sector marketing y publicidad,1,121.0,121.0
2026-08,sector tecnología,1,90.0,90.0
2026-08,sport business,53,33916.77142857143,640.0
2026-08,technology,4,277.8285714285714,69.0
2026-08,tecnología,7,358.45714285714286,51.0
2026-08,trends,9,1798.857142857143,200.0
2026-08,turismo,6,345.37142857142857,58.0
2026-08,viajes,5,223.37142857142857,45.0
2026-08,working mothers,3,206.31428571428575,69.0
