autor,mes,ruta,pct_cumplimiento
Agatha Thomas,01,/empresas/fitur-2026-para-republica-dominicana/,61.5
Agatha Thomas,01,/medihealth/virus-nipah-que-es-como-se-transmite-y-cuales-son-sus-primeros-sintomas/,53.8
Agatha Thomas,01,/empresas/las-playas-mas-peligrosas-del-mundo-en-2026-y-por-que-representan-un-riesgo/,46.2
Agatha Thomas,02,/empresas/fitur-2026-para-republica-dominicana/,61.5
Agatha Thomas,02,/empresas/las-playas-mas-peligrosas-del-mundo-en-2026-y-por-que-representan-un-riesgo/,46.2
Agatha Thomas,02,/medihealth/virus-nipah-que-es-como-se-transmite-y-cuales-son-sus-primeros-sintomas/,53.8
Agatha Thomas,03,/empresas/fitur-2026-para-republica-dominicana/,61.5
Agatha Thomas,03,/empresas/las-playas-mas-peligrosas-del-mundo-en-2026-y-por-que-representan-un-riesgo/,46.2
Agatha Thomas,03,/medihealth/virus-nipah-que-es-como-se-transmite-y-cuales-son-sus-primeros-sintomas/,53.8
Agatha Thomas,04,/empresas/las-playas-mas-peligrosas-del-mundo-en-2026-y-por-que-representan-un-riesgo/,46.2
Agatha Thomas,04,/empresas/fitur-2026-para-republica-dominicana/,61.5
Agatha Thomas,04,/medihealth/virus-nipah-que-es-como-se-transmite-y-cuales-son-sus-primeros-sintomas/,53.8
Agatha Thomas,05,/empresas/las-playas-mas-peligrosas-del-mundo-en-2026-y-por-que-representan-un-riesgo/,46.2
Agatha Thomas,05,/empresas/fitur-2026-para-republica-dominicana/,61.5
Agatha Thomas,05,/medihealth/virus-nipah-que-es-como-se-transmite-y-cuales-son-sus-primeros-sintomas/,53.8
Agatha Thomas,06,/empresas/las-playas-mas-peligrosas-del-mundo-en-2026-y-por-que-representan-un-riesgo/,46.2
Agatha Thomas,06,/empresas/fitur-2026-para-republica-dominicana/,61.5
Ana Sosa,04,/money-invest/ee-uu-devuelve-us166-000-millones-en-aranceles-el-giro-forzado-que-expone-el-costo-real-de-la-politica-comercial-de-trump/,38.5
Ana Sosa,04,/market-brief/finanzas/artemis-ii-el-inicio-de-la-economia-cislunar-y-el-rediseno-del-poder-corporativo-global/,23.1
Ana Sosa,04,/money-invest/daily-news/jet-set-un-ano-despues-el-incidente-del-8-de-abril-de-2025/,53.8
Ana Sosa,04,/money-invest/ultimatum-de-trump-a-iran-por-ormuz-vence-hoy-a-las-800-p-m-que-esta-en-juego/,30.8
Ana Sosa,04,/sostenibilidad/plasticos-de-un-solo-uso-ley-225-20-una-prohibicion-costosa-o-un-punto-de-partida-hacia-una-industria-circular/,38.5
Ana Sosa,04,/lifestyle/santino-entra-al-top-9-de-la-guia-macarfi-2026-en-su-segundo-ano-de-operaciones/,46.2
Ana Sosa,04,/money-invest/apple-apuesta-por-john-ternus-como-ceo-y-da-un-giro-estrategico-en-la-era-de-la-inteligencia-artificial/,30.8
Ana Sosa,04,/lifestyle/los-10-mejores-restaurantes-de-nueva-york-en-2026-segun-la-guia-michelin/,53.8
Ana Sosa,05,/lifestyle/los-10-mejores-restaurantes-de-nueva-york-en-2026-segun-la-guia-michelin/,53.8
Ana Sosa,05,/lifestyle/santino-entra-al-top-9-de-la-guia-macarfi-2026-en-su-segundo-ano-de-operaciones/,46.2
Ana Sosa,05,/money-invest/apple-apuesta-por-john-ternus-como-ceo-y-da-un-giro-estrategico-en-la-era-de-la-inteligencia-artificial/,30.8
Ana Sosa,05,/money-invest/daily-news/jet-set-un-ano-despues-el-incidente-del-8-de-abril-de-2025/,53.8
Ana Sosa,05,/money-invest/ee-uu-devuelve-us166-000-millones-en-aranceles-el-giro-forzado-que-expone-el-costo-real-de-la-politica-comercial-de-trump/,38.5
Ana Sosa,06,/lifestyle/los-10-mejores-restaurantes-de-nueva-york-en-2026-segun-la-guia-michelin/,53.8
Ana Sosa,06,/lifestyle/santino-entra-al-top-9-de-la-guia-macarfi-2026-en-su-segundo-ano-de-operaciones/,46.2
Ana Sosa,06,/money-invest/ee-uu-devuelve-us166-000-millones-en-aranceles-el-giro-forzado-que-expone-el-costo-real-de-la-politica-comercial-de-trump/,38.5
Ana Sosa,06,/money-invest/ultimatum-de-trump-a-iran-por-ormuz-vence-hoy-a-las-800-p-m-que-esta-en-juego/,30.8
Andrea Mercedes,03,/money-invest/daily-news/el-monorriel-de-santo-domingo-ya-tiene-fecha-de-inicio-arrancaria-la-proxima-semana/,69.2
Andrea Mercedes,03,/money-invest/daily-news/puerto-espacial-de-us600-millones-en-rd-entra-en-la-estrategia-de-ee-uu-frente-a-china/,76.9
Andrea Mercedes,03,/money-invest/daily-news/gobierno-de-ee-uu-registra-el-dominio-aliens-gov-y-genera-expectativa-por-posible-desclasificacion/,69.2
Andrea Mercedes,03,/money-invest/daily-news/gobierno-fija-horario-especial-sector-publico-trabajara-hasta-el-miercoles-en-semana-santa-2026/,61.5
Andrea Mercedes,03,/lifestyle/top-20-estas-son-las-mejores-peliculas-de-chuck-norris-segun-imdb/,69.2
Andrea Mercedes,03,/empresas/sport-business/lakers-bulls-51-puntos-luka-doncic/,53.8
Andrea Mercedes,03,/empresas/sport-business/polemico-strike-deja-fuera-a-republica-dominicana-del-clasico-mundial-y-provoca-indignacion/,69.2
Andrea Mercedes,03,/money-invest/daily-news/nueva-cedula-en-rd-quienes-no-esten-en-su-mes-deberan-ir-de-madrugada/,69.2
Andrea Mercedes,03,/money-invest/daily-news/maduro-comparece-hoy-en-nueva-york-e-intenta-anular-el-juicio-por-narcoterrorismo/,69.2
Andrea Mercedes,04,/money-invest/daily-news/monorriel-de-santo-domingo-cuantas-estaciones-tendra-y-cuantos-pasajeros-movera/,76.9
Andrea Mercedes,04,/construccion/es-el-monorriel-de-rd-una-mala-apuesta-esto-muestran-los-casos-internacionales/,69.2
Andrea Mercedes,04,/money-invest/daily-news/arranca-la-nueva-cedula-el-12-de-abril-estos-son-los-centros-y-horarios-clave/,53.8
Andrea Mercedes,04,/money-invest/daily-news/elecciones-peru-2026-resultados-y-quienes-pasan-a-segunda-vuelta-hoy/,69.2
Andrea Mercedes,04,/money-invest/daily-news/con-el-robo-de-12-toneladas-de-chocolate-kitkat-lanza-rastreador-para-ubicar-el-lote/,61.5
Andrea Mercedes,04,/money-invest/tasas-de-cambio-en-rd-hoy-21-de-abril-dolar-en-bancos-y-remesadoras/,69.2
Andrea Mercedes,04,/money-invest/daily-news/cedula-en-rd-cuando-necesitas-cita-obligatoria-y-como-sacarla-paso-a-paso/,69.2
Andrea Mercedes,04,/money-invest/daily-news/trump-revela-documentos-sobre-ovnis-y-vida-extraterrestre-tras-proceso-de-desclasificacion/,69.2
Andrea Mercedes,05,/money-invest/daily-news/quien-va-ganando-las-elecciones-en-colombia-2026-los-favoritos-segun-las-encuestas/,69.2
Andrea Mercedes,05,/actualidad/resultados-de-leidsa-del-miercoles-13-de-mayo-de-2026/,61.5
Andrea Mercedes,05,/actualidad/resultados-de-leidsa-del-miercoles-20-de-mayo-de-2026/,61.5
Andrea Mercedes,05,/money-invest/daily-news/teleferico-de-santo-domingo-oeste-2026-cuando-estara-lista-la-linea-3/,76.9
Andrea Mercedes,05,/money-invest/daily-news/quien-va-ganando-la-presidencia-de-colombia-el-empate-tecnico-que-sacude-al-pais-sehun-la-sultimas-encuestas-en-mayo/,61.5
Andrea Mercedes,05,/money-invest/daily-news/quien-ganara-las-elecciones-en-colombia-asi-van-los-candidatos-este-mayo-2026/,61.5
Andrea Mercedes,05,/money-invest/daily-news/nueva-regla-green-card-2026-trump-exige-salir-de-ee-uu-para-solicitar-la-residencia/,76.9
Andrea Mercedes,05,/money-invest/daily-news/precios-de-combustibles-hoy-en-rd-ajuste-semanal-incluye-aumentos-en-gasolinas-y-gasoil/,69.2
Andrea Mercedes,06,/money-invest/daily-news/quien-gano-las-elecciones-en-peru-2026-sanchez-lidera-con-50-1-pero-faltan-los-votos-del-extranjero/,69.2
Andrea Mercedes,06,/money-invest/daily-news/resultado-final-elecciones-peru-2026-fujimori-vs-sanchez-quien-se-esta-imponiendo-en-segunda-vuelta/,76.9
Andrea Mercedes,06,/money-invest/daily-news/cuando-es-la-segunda-vuelta-presidencial-en-colombia-calendario-electoral/,76.9
Andrea Mercedes,06,/money-invest/daily-news/quien-va-ganando-en-las-elecciones-de-peru-2026-fujimori-supera-a-sanchez-por-32-000-votos/,76.9
Andrea Mercedes,06,/money-invest/daily-news/cuando-se-sabra-el-resultado-final-de-las-elecciones-en-peru-2026/,69.2
Ashley Presinal,01,/empresas/asesoria-juridica-estrategica-jdd-hiraldo-perez/,23.1
Ashley Presinal,01,/empresas/transformacion-digital-financiera-asociacion-duarte/,23.1
Ashley Presinal,01,/empresas/bhd-educacion-financiera-eje-sostenibilidad/,23.1
Ashley Presinal,02,/empresas/proyecto-hostos-integracion-energetica-rd-puerto-rico/,23.1
Ashley Presinal,02,/empresas/asesoria-juridica-estrategica-jdd-hiraldo-perez/,23.1
Ashley Presinal,02,/empresas/bhd-educacion-financiera-eje-sostenibilidad/,23.1
Ashley Presinal,02,/empresas/transformacion-digital-financiera-asociacion-duarte/,23.1
Ashley Presinal,03,/empresas/proyecto-hostos-integracion-energetica-rd-puerto-rico/,23.1
Ashley Presinal,03,/empresas/asesoria-juridica-estrategica-jdd-hiraldo-perez/,23.1
Ashley Presinal,03,/empresas/transformacion-digital-financiera-asociacion-duarte/,23.1
Ashley Presinal,03,/empresas/bhd-educacion-financiera-eje-sostenibilidad/,23.1
Ashley Presinal,04,/empresas/proyecto-hostos-integracion-energetica-rd-puerto-rico/,23.1
Ashley Presinal,04,/empresas/bhd-educacion-financiera-eje-sostenibilidad/,23.1
Ashley Presinal,04,/empresas/asesoria-juridica-estrategica-jdd-hiraldo-perez/,23.1
Ashley Presinal,04,/empresas/transformacion-digital-financiera-asociacion-duarte/,23.1
Ashley Presinal,05,/empresas/proyecto-hostos-integracion-energetica-rd-puerto-rico/,23.1
Ashley Presinal,05,/empresas/transformacion-digital-financiera-asociacion-duarte/,23.1
Ashley Presinal,05,/empresas/asesoria-juridica-estrategica-jdd-hiraldo-perez/,23.1
Ashley Presinal,05,/empresas/bhd-educacion-financiera-eje-sostenibilidad/,23.1
Ashley Presinal,06,/empresas/bhd-educacion-financiera-eje-sostenibilidad/,23.1
Ashley Presinal,06,/empresas/proyecto-hostos-integracion-energetica-rd-puerto-rico/,23.1
Ashley Presinal,06,/empresas/asesoria-juridica-estrategica-jdd-hiraldo-perez/,23.1
Ashley Presinal,06,/empresas/transformacion-digital-financiera-asociacion-duarte/,23.1
