h1,title_tag,meta_desc,primer_parrafo,num_parrafos,num_h2,h2_textos,tiene_lista_tabla,num_tags,tags_textos,num_enlaces_internos,parrafo_primer_enlace,ancla_primer_enlace,anclas_todas,palabras_body,img_url,img_ancho,img_alt,autor_jsonld,seccion_jsonld,fecha_publicacion,keywords_jsonld,es_sindicado,error,ruta,autor
"🔴 Medallero Santo Domingo 2026 EN VIVO hoy, 6 de agosto | ¿Cómo va RD?",Medallero Juegos Centroamericanos 2026: tabla en vivo,"Consulta el medallero de los Juegos Centroamericanos Santo Domingo 2026. Revisa cuántos oros, platas y bronces lleva cada país.","República Dominicana suma 97 medallas: 24 de oro, 21 de plata y 52 de bronce. Con estos resultados, el país ascendió provisionalmente alquinto lugar del medalleroy desplazó a Puerto Rico.",40,12,Medallero de los Juegos Centroamericanos 2026 | ¿Cuántas medallas tiene República Dominicana? | Marileidy Paulino gana los 400 metros con récord | Gabriel Moronta conquista el oro en los 400 metros | María Dimitrova gana su sexto oro consecutivo | Larry Aracena también se corona en kata | Nayelis Guzmán obtiene plata en karate | Luis García suma plata en levantamiento de pesas | República Dominicana sube al quinto lugar | ¿Qué país lidera el medallero? | ¿Cómo se define la posición en el medallero? | ¿Cuándo terminan los Juegos Centroamericanos Santo Domingo 2026?,True,6,"Santo Domingo 2026, noticias-economicas-RD, Juegos Centroamericanos y del Caribe 2026, noticias RD, medallero-santo-domingo-2026, deportes-rd",7,3.0,agenda de los Juegos Centroamericanos Santo Domingo 2026,agenda de los Juegos Centroamericanos Santo Domingo 2026 | ¿Qué deportes le han dado más medallas a República Dominicana en Santo Domingo 2026? | agenda de los Juegos Centroamericanos Santo Domingo 2026 | Suscríbete a la revista | regístrate a nuestros newsletters | Suscríbete a la revista | regístrate a nuestros newsletters,962,https://revistamercado.do/wp-content/uploads/2026/07/Medallero-Santo-Domingo-2026-EN-VIVO-hoy-28-de-julio-¿Cómo-va-RD-copy.webp,1560.0,,Edwin Lozada,Sport Business,2026-08-04T19:16:32-04:00,"no-paywall, Santo Domingo 2026, noticias-economicas-RD, Juegos Centroamericanos y del Caribe 2026, noticias RD, medallero-santo-domingo-2026, deportes-rd",False,,/empresas/sport-business/medallero-juegos-centroamericanos-2026-en-vivo/,Edwin Lozada
"¿Quién ganará la Copa del Mundo? Las probabilidades de Argentina, Inglaterra y España según Opta","¿Quién ganará la Copa del Mundo? Las probabilidades de Argentina, Inglaterra y España según Opta","España se posiciona como la máxima favorita para conquistar la Copa del Mundo 2026, de acuerdo con la actualización más reciente del modelo estadístico de Opta, una de las plataformas...","El cambio en las probabilidades refleja el impacto que tienen los resultados de las fases decisivas sobre los modelos predictivos, los cuales ajustan sus cálculos en tiempo real conforme avanza la competición. Con la eliminación de Francia, que hasta ese momento aparecía como la principal aspirante en distintos análisis estadísticos, España tomó el control de las proyecciones y se acerca con fuerza a la posibilidad de levantar el trofeo.",24,3,España lidera las predicciones para conquistar el Mundial 2026 | Inglaterra parte con una ligera ventaja sobre Argentina | Así funciona el modelo predictivo de Opta,False,1,Copa del Mundo 2026,7,4.0,Argentina vs. Inglaterra en el Mundial 2026: la historia detrás de una rivalidad que marcó el fútbol,"Argentina vs. Inglaterra en el Mundial 2026: la historia detrás de una rivalidad que marcó el fútbol | ¿Cómo sería un Mundial de 64 países? El plan que analiza Infantino para la Copa del Mundo de 2030 | Argentina vs. Inglaterra, semifinal Mundial 2026: la revancha que la selección inglesa tiene esperando 40 años | Suscríbete a la revista | regístrate a nuestros newsletters | Suscríbete a la revista | regístrate a nuestros newsletters",795,https://revistamercado.do/wp-content/uploads/2026/07/¿Quien-ganara-la-Copa-del-Mundo_-Las-probabilidades-de-Argentina-Inglaterra-y-Espana-segun-Opta-copy.webp,1560.0,,Jhojhanni Fiorini,Sport Business,2026-07-15T16:38:32-04:00,"no-paywall, Copa del Mundo 2026",False,,/empresas/sport-business/quien-ganara-la-copa-del-mundo-las-probabilidades-de-argentina-inglaterra-y-espana-segun-opta/,Jhojhanni Fiorini
Monorriel de Santo Domingo: Así conectará al Distrito Nacional con SDE en 18 minutos,Monorriel de Santo Domingo: cambiará el transporte en la capital,El Monorriel de Santo Domingo contará con 13 estaciones y reducirá el trayecto entre el Distrito Nacional y SDE a 18 minutos.,"ElMonorriel de Santo Domingose perfila como uno de los proyectos de infraestructura más ambiciosos para transformar la movilidad urbana en la capital dominicana. De acuerdo con los estudios técnicos presentados por elFideicomiso para el Desarrollo del Sistema de Transporte Masivo de la República Dominicana (FITRAM), el sistema permitirá conectar elDistrito Nacional con Santo Domingo Este (SDE)en apenas18 minutos, un trayecto que actualmente puede tomar alrededor de una hora debido a la congestión vehicular.",23,5,"Así será el recorrido del Monorriel de Santo Domingo | ¿Cómo operará el nuevo sistema de transporte? | El tiempo, la principal razón para construir el monorriel | Proyecto pensado para integrarse con la ciudad | Apuesta para transformar la movilidad en Santo Domingo",True,4,"movilidad urbana, FITRAM, transporte publico, Monorriel de Santo Domingo",11,1.0,Monorriel de Santo Domingo,"Monorriel de Santo Domingo | Fideicomiso para el Desarrollo del Sistema de Transporte Masivo de la República Dominicana (FITRAM) | La inversión en IA se dispara, pero el retorno sigue sin definirse | trazado del monorriel | Monorriel de Santo Domingo: cuándo comenzarán las obras y cómo será la primera etapa | Monorriel de Santo Domingo | Monorriel vs Metro: cuál es la diferencia real y cuál conviene para Santo Domingo | Suscríbete a la revista | regístrate a nuestros newsletters | Suscríbete a la revista | regístrate a nuestros newsletters",645,https://revistamercado.do/wp-content/uploads/2026/07/Monorriel-de-Santo-Domingo-Así-conectará-al-Distrito-Nacional-con-SDE-en-18-minutos.webp,1560.0,Diseño digital en tres dimensiones que muestra un tren moderno de monorriel blanco con franjas azules y detalles curvos en rojo circulando a gran velocidad sobre un viaducto de vigas de hormigón elevado en perspectiva hacia el frente bajo un cielo claro y luminoso de fondo.,Andrea Mercedes,Daily News,2026-07-02T14:42:25-04:00,"movilidad urbana, FITRAM, transporte publico, no-paywall, Monorriel de Santo Domingo",False,,/money-invest/daily-news/monorriel-de-santo-domingo-asi-conectara-al-distrito-nacional-con-sde-en-18-minutos/,Andrea Mercedes
¿Cuánto pagarás por una transferencia? Bancos explican como funciona el nuevo impuesto de 0.20%,Nuevo impuesto a transferencias: esto pagarás desde el 3 de julio,Los bancos informan cómo se aplicará el nuevo impuesto de 0.20% a las transferencias electrónicas y cheques desde el 3 de julio en RD.,"Los bancos deRepública Dominicanacomenzaron a notificar a sus clientes sobre el aumento del impuesto a las transferencias electrónicas y la emisión de cheques, que entrará en vigor este 3 de julio de 2026 como parte de laimplementación de la Ley 30-26deMedidas Pro Crecimiento Económico, Simplificación Fiscal y Mitigación de la Crisis Internacional.",23,5,Bancos informan el nuevo impuesto a sus clientes | El impuesto no es un cobro del banco | ¿Qué operaciones estarán gravadas? | Operaciones que estarán exentas del impuesto | ¿Qué impacto tendrá el aumento para personas y empresas?,True,3,"reforma fiscal República Dominicana, Ley 30-26, impuesto a las transferencias",9,1.0,implementación de la Ley 30-26,implementación de la Ley 30-26 | ¿Por qué un cheque robado puede terminar costándote mucho más dinero? | la Ley 30-26 | Impuesto a las transferencias electrónicas sube: ¿qué cambia desde este 3 de julio? | las transacciones bancarias | Impuesto a las transferencias electrónicas sube: ¿qué cambia desde este 3 de julio? | su planificación financiera | Suscríbete a la revista | regístrate a nuestros newsletters,559,https://revistamercado.do/wp-content/uploads/2026/07/¿Cuánto-pagarás-por-una-transferencia_-Bancos-explican-como-funciona-el-nuevo-impuesto-de-0.20-copy.webp,1560.0,Imagen compuesta que muestra en el lado izquierdo una mano acercando una tarjeta de crédito o débito azul con tecnología de pago sin contacto a una terminal de pago digital con teclado numérico y en el lado derecho de forma superpuesta la gran cúpula de color beige y la fachada clásica del Palacio Nacional de la República Dominicana bajo un cielo azul despejado.,Andrea Mercedes,Daily News,2026-07-03T11:14:38-04:00,"no-paywall, reforma fiscal República Dominicana, Ley 30-26, impuesto a las transferencias",False,,/money-invest/daily-news/cuanto-pagaras-por-una-transferencia-bancos-explican-como-funciona-el-nuevo-impuesto-de-0-20/,Andrea Mercedes
¿Cómo funciona el aislamiento de base? La tecnología sísmica que Venezuela y el Caribe necesitan implementar,¿Qué es el aislamiento de base y por qué Chile y Japón lo utilizan?,"Conoce cómo funciona el aislamiento de base, la tecnología antisísmica que protege edificios frente a terremotos de gran magnitud.","Los recientessismos registrados en Venezuelahan vuelto a poner sobre la mesa el debate sobre laresiliencia de las edificaciones en regiones de alta actividad tectónica. Entre las tecnologías que han demostrado mayor eficacia para reducir los daños provocados por terremotos destaca el aislamiento de base, un sistema de ingeniería que permite que los edificios absorban el movimiento del suelo sin transmitir toda la energía a la estructura.",24,5,¿Qué es el aislamiento de base y cómo funciona? | ¿Por qué Chile y Japón son referentes en esta tecnología? | ¿Qué beneficios ofrece el aislamiento de base? | El desafío para Venezuela y el Caribe | ¿Puede esta tecnología convertirse en un estándar regional?,True,4,"Terremotos, prevención de desastres, Aislamiento de base, Ingeniería sísmica",10,1.0,sismos registrados en Venezuela,sismos registrados en Venezuela | Venezuela negocia con EE.UU. y el FMI fondos para la reconstrucción tras los terremotos | Chile | Japón | ¿Qué reveló la NASA sobre el terremoto en Venezuela? Así se movió la superficie terrestre | República Dominicana | ¿Qué es un doblete sísmico y por qué el terremoto de Venezuela fue tan destructivo? | futuros terremotos de gran magnitud | Suscríbete a la revista | regístrate a nuestros newsletters,685,https://revistamercado.do/wp-content/uploads/2026/07/¿Cómo-funciona-el-aislamiento-de-base_-La-tecnología-sísmica-que-Venezuela-y-el-Caribe-necesitan-implementar-copy.webp,1560.0,Primer plano de un dispositivo mecánico industrial de aislamiento de base sismorresistente fabricado en metal gris y compuesto por cilindros placas circulares empernadas y pernos verticales gruesos fijados sobre una columna estructural en una obra civil en construcción mientras que en la mitad derecha de la imagen se superpone de forma semitransparente la bandera de Venezuela con sus franjas y estrellas blancas difuminadas.,Andrea Mercedes,Daily News,2026-07-15T17:51:19-04:00,"no-paywall, Terremotos, prevención de desastres, Aislamiento de base, Ingeniería sísmica",False,,/money-invest/daily-news/aislamiento-base-tecnologia-edificios-antisismicos/,Andrea Mercedes
Fortuna de Gianni Infantino: cuánto gana el presidente de la FIFA y cómo construyó su patrimonio antes del Mundial 2026,Fortuna de Gianni Infantino: cuánto gana el presidente de la FIFA y cómo construyó su patrimonio antes del Mundial 2026,"Gianni Infantino se ha convertido en una de las figuras más poderosas del futbol internacional. Como presidente de la FIFA, dirige una de las organizaciones deportivas con mayor influencia económica...","Su liderazgo al frente del máximo organismo del futbol mundial también ha generado interés sobre su situación financiera. Muchos aficionados se preguntancuánto dinero tiene Gianni Infantino, cuánto gana como presidente de la FIFA y cuáles han sido las fuentes que le permitieron construir su patrimonio.",24,3,"El salario de Gianni Infantino como presidente de la FIFA y sus principales ingresos | De abogado deportivo a presidente de la FIFA: la trayectoria que llevó a Infantino al poder | Mundial 2026 y el legado de Infantino: más equipos, más ingresos y más debate",True,2,"copa mundial, Copa del Mundo 2026",6,7.0,¿Quién ganará el Mundial 2026? La proyección de Goldman Sachs para las selecciones latinoamericanas,¿Quién ganará el Mundial 2026? La proyección de Goldman Sachs para las selecciones latinoamericanas | ¿Quién ganará el Mundial 2026? El ranking de favoritos a un mes del debut | Suscríbete a la revista | regístrate a nuestros newsletters | Suscríbete a la revista | regístrate a nuestros newsletters,816,https://revistamercado.do/wp-content/uploads/2026/06/Fortuna-de-Gianni-Infantino-cuanto-gana-el-presidente-de-la-FIFA-y-como-construyo-su-patrimonio-antes-del-Mundial-2026-copy.webp,1560.0,Dirigente deportivo en traje frente a pantallas con partidos de fútbol y el trofeo de la Copa del Mundo.,Jhojhanni Fiorini,Sport Business,2026-06-30T15:16:56-04:00,"no-paywall, copa mundial, Copa del Mundo 2026",False,,/empresas/sport-business/fortuna-de-gianni-infantino-cuanto-gana-el-presidente-de-la-fifa-y-como-construyo-su-patrimonio-antes-del-mundial-2026/,Jhojhanni Fiorini
Mundial 2030 y 2034: dónde y cuándo se jugarán las próximas ediciones de la Copa del Mundo,FIFA confirma las sedes del Mundial 2030 y 2034,"Los próximos Mundiales ya tienen anfitriones. Descubra las sedes, fechas previstas y el impacto económico de cada torneo.","Mientras elMundial de 2026acapara la atención de millones de aficionados alrededor del planeta, laFederación Internacional de Fútbol Asosiación (FIFA)ya tiene definido el futuro de las dos próximas ediciones de la Copa del Mundo. Los torneos de 2030 y 2034 marcarán nuevos hitos para el fútbol internacional, tanto por la distribución geográfica de las sedes como por la magnitud de las inversiones que requerirá su organización.",23,5,Mundial 2030: en tres continentes | ¿Cuándo se jugará el Mundial 2030? | Sede del Mundial 2034 | Impacto económico detrás de los próximos Mundiales | Futuro de la Copa del Mundo sigue expandiéndose,True,4,"FIFA, Fifa-world-cup-2026, Mundial 2030, Mundial 2034",9,1.0,Mundial de 2026,Mundial de 2026 | Así fue la ceremonia de inauguración que dio inicio al Mundial 2026 | ¿Dónde será la final del Mundial 2026? Fecha y estadio confirmado | oportunidad económica | evento cada vez más global | Suscríbete a la revista | regístrate a nuestros newsletters | Suscríbete a la revista | regístrate a nuestros newsletters,688,https://revistamercado.do/wp-content/uploads/2026/06/Mundial-2030-y-2034-dónde-y-cuándo-se-jugarán-las-próximas-ediciones-de-la-Copa-del-Mundo-copy.webp,1560.0,Plano medio del presidente de la FIFA Gianni Infantino un hombre calvo sonriente con traje oscuro y camisa blanca parado detrás de un podio de madera marrón con las letras de la FIFA impresas mientras sostiene horizontalmente con ambas manos un cartel rectangular negro que muestra las banderas nacionales de Marruecos Portugal y España con sus respectivos nombres en letras blancas abajo frente a un gran fondo digital rojo brillante con banderas desenfocadas y el trofeo dorado de la Copa del Mundo en la esquina inferior derecha.,Andrea Mercedes,Sport Business,2026-06-11T17:43:45-04:00,"FIFA, no-paywall, Fifa-world-cup-2026, Mundial 2030, Mundial 2034",False,,/money-invest/daily-news/mundial-2030-y-2034-donde-y-cuando-se-jugaran-las-proximas-ediciones-de-la-copa-del-mundo/,Andrea Mercedes
"iPhone 18: Filtraciones revelan su precio, cambios en las cámaras y fecha de lanzamiento",iPhone 18: estas serían sus principales novedades y precio,"El iPhone 18 llegaría en septiembre de 2026 con mejoras en cámara, chip A20 Pro e inteligencia artificial. Conoce su posible precio y novedades.","Eso sí, conviene hacer una aclaración importante.Appleno ha confirmado ninguna de estas especificaciones.Toda la información disponible hasta el momento proviene de filtraciones, documentos de la cadena de producción y reportes de analistas con historial de aciertos, por lo que algunos detalles podrían cambiar antes del anuncio oficial.",23,1,Un lanzamiento previsto para septiembre,False,1,iphone 18,8,1.0,Apple,Apple | Estados Unidos anuncia aranceles del 50 % a productos canadienses y eleva la tensión comercial | ¿Cuándo sale el iPhone 18 y qué cambios traerá el nuevo teléfono de Apple? | El iPhone 18 Pro Max tendría cuatro cámaras: Las novedades del próximo teléfono de Apple | Suscríbete a la revista | regístrate a nuestros newsletters | Suscríbete a la revista | regístrate a nuestros newsletters,754,https://revistamercado.do/wp-content/uploads/2026/07/iPhone-18-Filtraciones-revelan-su-precio-cambios-en-las-camaras-y-fecha-de-lanzamiento.webp,1560.0,iPhone de color rojo exhibido en una vitrina de una tienda tecnológica junto a carteles con símbolos de precio y el año 2028.,Elba Reyes,Devices,2026-07-23T17:36:04-04:00,"no-paywall, iphone 18",False,,/technology/devices/iphone-18-filtraciones-revelan-su-precio-cambios-en-las-camaras-y-fecha-de-lanzamiento/,Elba Reyes
Por qué España no conservará el trofeo original del Mundial 2026,España no conservará el trofeo original del Mundial 2026,"España ganó el Mundial 2026, pero no conservará el trofeo original. Conozca la regla de la FIFA y qué réplica recibe el campeón.","Los jugadores españoles pudieron celebrar y fotografiarse con eltrofeo original del Mundial 2026después de conquistar la segunda Copa del Mundo de la historia de su país. Sin embargo, la Federación Española de Fútbol recibirá una réplica bañada en oro para conservarla y exhibirla.",22,6,"¿Por qué España no puede quedarse con el trofeo original? | ¿Cuánto pesa y de qué está hecha la Copa del Mundo? | El campeón recibe una réplica bañada en oro | La historia del trofeo Jules Rimet | El trofeo ya había sido robado antes del Mundial de 1966 | España conserva el título, aunque no la copa original",False,3,"FIFA 2026, Final Mundial 2026, España vs. Argentina",0,,,,700,https://revistamercado.do/wp-content/uploads/2026/06/Mundial-2026-¿Cuanto-dinero-gana-el-campeon-y-cuanto-paga-FIFA-por-cada-ronda_-copy.webp,1560.0,"Primer plano de un par de manos levantando la Copa del Mundo de la FIFA 2026, con un fondo de billetes de dólar difuminados, simbolizando las ganancias monetarias asociadas al torneo.",Edwin Lozada,Sport Business,2026-07-19T18:33:29-04:00,"FIFA 2026, Final Mundial 2026, España vs. Argentina",False,,/money-invest/daily-news/espana-trofeo-original-mundial-2026/,Edwin Lozada
"Mundial 2026: así quedó el cuadro de los Cuartos de Final tras los octavos, fecha y hora para ver los partidos",Mundial 2026: cruces de los Cuartos de Final,"Conoce los cruces, fechas, horarios y partidos confirmados de los Cuartos de Final del Mundial 2026, donde ocho selecciones buscan un lugar.","El torneo, que por primera vezreúne a 48 seleccionesy se disputa de manera conjunta entreEstados Unidos, México y Canadá, comienza ahora su recta decisiva con unos cuartos de final que prometen enfrentamientos de alto nivel entre campeones del mundo, potencias europeas y selecciones que han dado la gran sorpresa del campeonato.",22,1,Así quedaron los Cuartos de Final,True,3,"mundial 2026, FIFA 2026, Fifa-world-cup-2026",8,2.0,El negocio detrás del gol: la red que procesa los pagos del Mundial,"El negocio detrás del gol: la red que procesa los pagos del Mundial | la Copa del Mundo. | Partidos del Mundial 2026 HOY, martes 7 de julio: horarios y dónde ver fútbol en vivo | Tabla de goleadores del Mundial 2026: Quién lidera la Bota de Oro | Suscríbete a la revista | regístrate a nuestros newsletters | Suscríbete a la revista | regístrate a nuestros newsletters",673,https://revistamercado.do/wp-content/uploads/2026/07/Mundial-2026-asi-quedo-el-cuadro-de-los-Cuartos-de-Final-tras-los-octavos-fecha-y-hora-para-ver-los-partidos-copy.webp,1560.0,"Gráfico del cuadro de los Cuartos de Final del Mundial 2026 con los equipos clasificados, mostrando banderas y el trofeo de la FIFA en el centro.",Elba Reyes,Sport Business,2026-07-07T11:02:23-04:00,"mundial 2026, no-paywall, FIFA 2026, Fifa-world-cup-2026",False,,/empresas/sport-business/mundial-2026-asi-quedo-el-cuadro-de-los-cuartos-de-final-tras-los-octavos-fecha-y-hora-para-ver-los-partidos/,Elba Reyes
