video_id,titulo,fecha_publicacion,duracion_seg,pct_reproducido,duracion_promedio_vista,vistas,horas_reproduccion,categoria,es_short,ingresos_usd
-vFzNWY2BGE,Una filtración sacude al Pentágono y aumenta la tensión con Irán,"Aug 7, 2026",110,95.06,0:01:44,361183,6997.8685,Noticias breves (geopolítica/actualidad),True,32.97
4qvY6ha5ky0,Oriente Medio en alerta una nueva alianza militar redefine el tablero regional,"Aug 7, 2026",89,103.12,0:01:31,296355,5416.9495,Otros / Institucional,True,33.782
lZCMrOppsJQ,El conflicto ya no es solo entre EE UU,"Jul 31, 2026",84,107.77,0:01:30,238566,4197.9028,Noticias breves (geopolítica/actualidad),True,22.093
u1eAHAlAxkc,Irán refuerza su ofensiva militar y eleva la tensión con EEUU,"Aug 10, 2026",109,98.58,0:01:47,183653,3725.068,Noticias breves (geopolítica/actualidad),True,17.548
uXHYWQckaGg,¿Un nuevo frente de guerra para Trump? Corea del Norte amenza de palabra y lanza misiles de prueba,"Aug 14, 2026",91,97.01,0:01:28,198765,3548.4667,Noticias breves (geopolítica/actualidad),True,19.473
Yj7pQ_ApORY,Prensa Iraní proclama victoria así cuentan el alto al fuego de Trump,"Aug 4, 2026",146,92.86,0:02:15,127538,3480.3431,Noticias breves (geopolítica/actualidad),True,6.407
F8WjE9sjOEQ,Irán exige indemnización a EEUU y Trump responde,"Aug 11, 2026",110,105.1,0:01:55,121432,2618.0991,Noticias breves (geopolítica/actualidad),True,13.044
WHA1yaUsfYc,El presidente iraní admite su fragilidad la crisis es multidimensional,"Aug 6, 2026",106,93.29,0:01:38,114665,2268.9032,Noticias breves (geopolítica/actualidad),True,12.062
I30IfmrSSxg,Una nueva amenaza para el comercio mundial emerge en el Mar Rojo,"Aug 10, 2026",96,119.97,0:01:55,89945,1841.224,Noticias breves (geopolítica/actualidad),True,8.559
iMfY8Nia0WM,"Irán resiste, Trump ¿replantea su estrategia en la guerra?","Aug 3, 2026",120,100.64,0:02:00,77822,1821.5306,Noticias breves (geopolítica/actualidad),True,8.088
3YF_f4ihQP0,¿Irán asoma una amenaza de ataque nuclear al mundo?,"Aug 12, 2026",113,104.56,0:01:58,66912,1533.6359,Noticias breves (geopolítica/actualidad),True,7.801
