Contenido,Título del video,Tiempo de publicación del video,Duración,Ingresos estimados (USD),Vistas,RPM (USD)
Total,,,,237.912,2417013,0.147
4qvY6ha5ky0,Oriente Medio en alerta una nueva alianza militar redefine el tablero regional,"Aug 7, 2026",89,33.782,296769,0.163
-vFzNWY2BGE,Una filtración sacude al Pentágono y aumenta la tensión con Irán,"Aug 7, 2026",110,32.97,361565,0.142
lZCMrOppsJQ,El conflicto ya no es solo entre EE UU,"Jul 31, 2026",84,22.093,238610,0.134
uXHYWQckaGg,¿Un nuevo frente de guerra para Trump? Corea del Norte amenza de palabra y lanza misiles de prueba,"Aug 14, 2026",91,19.473,198765,
u1eAHAlAxkc,Irán refuerza su ofensiva militar y eleva la tensión con EEUU,"Aug 10, 2026",109,17.548,183653,0.149
F8WjE9sjOEQ,Irán exige indemnización a EEUU y Trump responde,"Aug 11, 2026",110,13.044,121432,0.166
WHA1yaUsfYc,El presidente iraní admite su fragilidad “la crisis es multidimensional”,"Aug 6, 2026",106,12.062,114708,0.148
I30IfmrSSxg,Una nueva amenaza para el comercio mundial emerge en el Mar Rojo,"Aug 10, 2026",96,8.559,89945,0.162
iMfY8Nia0WM,"Irán resiste, Trump ¿replantea su estrategia en la guerra?","Aug 3, 2026",120,8.088,77853,0.151
3YF_f4ihQP0,¿Irán asoma una amenaza de ataque nuclear al mundo?,"Aug 12, 2026",113,7.801,66912,0.167
IuGdJ8838tg,La guerra escala Medio Oriente abre un nuevo capítulo de incertidumbre global,"Jul 24, 2026",82,7.346,68646,0.165
Yj7pQ_ApORY,Prensa Iraní proclama victoria así cuentan el alto al fuego de Trump,"Aug 4, 2026",146,6.407,127577,0.068
yAj3AYOh7yY,¿Se agota los misiles de Estados Unidos  Washington niega una crisis militar?,"Aug 5, 2026",112,5.12,47622,0.157
ovKMLcMovRQ,Irán eleva amenazas contra EEUU y el comercio energético mundial,"Jul 16, 2026",111,4.777,46345,0.152
biHUbgJTdFQ,Irán suma un aliado a la guerra y pone en riesgo para la economía global,"Jul 17, 2026",102,4.762,50804,0.134
Vvfoc_ubQz4,Trump da marcha atrás al polémico peaje del 20% en el estrecho de Ormuz,"Jul 15, 2026",114,4.496,40163,0.168
Ca2kyRyFk4E,Civiles vuelven a pagar el costo de la guerra entre Estados Unidos e Irán,"Jul 30, 2026",94,3.908,33765,0.174
XtCQlOmEprI,La presión militar de Irán se mantiene mientras crecen los llamados al diálogo,"Jul 20, 2026",107,3.901,39733,0.145
svQAHfzp87k,La guerra se expande nuevos aliados intensifican la escalada militar,"Jul 29, 2026",76,3.759,34157,0.169
kwPlMtpLsyw,Una nueva tensión en el mar Rojo eleva la alerta global,"Jul 22, 2026",84,3.633,33563,0.164
bNQE74ftIwQ,La tragedia sísmica en Colombia escala el balance preliminar deja terribles cifras,"Aug 11, 2026",132,2.101,22009,0.144
bTO37XyC3Ko,La guerra invisible del petróleo barcos ocultos y una economía en alerta,"Aug 13, 2026",106,1.449,15512,0.154
JMrtB123uYw,Terremoto en Colombia reaviva las alertas,"Aug 10, 2026",110,1.421,17898,0.114
5OTqc3ZMUkc,"La guerra entra en pausa, pero la tensión sigue al máximo","Jul 27, 2026",108,1.348,13009,0.167
3CLeZaACFLo,Nuevo riesgo para Irán: conflictos internos por inflación del 90%,"Jul 21, 2026",89,1.297,10887,0.176
68ZNKFP9ckM,Ataques y represalias agravan el conflicto entre Estados Unidos e Irán,"Jul 13, 2026",100,0.977,9242,0.155
DWdcYHvtJPo,Amenaza contra la vida de Trump sacude el tablero geopolítico,"Jul 10, 2026",89,0.615,5629,0.157
tNjvI2Nk7BE,Trump asegura que EE  UU  mantiene capacidad militar y advierte que los ataques podrían reanudarse,"Jul 28, 2026",94,0.613,5245,0.174
