Contenido,Título del video,Tiempo de publicación del video,Duración,Ingresos estimados (USD),Vistas,RPM (USD)
Total,,,,1857.238,16069867,0.151
vV3Uw15K5Go,ÚLTIMA HORA Trump estalla tras filtración del acuerdo secreto con Irán,"Jun 12, 2026",89,96.528,528781,0.239
u5G_2nlisQ8,Se eleva la tension global Irán responde: hay implicaciones en comercio energetico,"Mar 25, 2026",109,95.488,870399,0.141
PP5jnSPUjXE,"Taposiris Magna, el tesoro sumergido que podría cambiar la historia - Dra. Kathleen Martínez Ep.4","Dec 11, 2024",796,86.523,38000,2.278
JVrzJXcwxkI,La arqueóloga dominicana que logró lo inimaginable – Dra. Kathleen Martínez Ep.2,"Dec 9, 2024",402,65.872,54177,1.216
biHUbgJTdFQ,Irán suma un aliado a la guerra y pone en riesgo para la economía global,"Jul 17, 2026",102,65.154,658381,0.137
V927einCJZo,Convertiremos el área en un cementerio  Irán lanza duras advertencias a EEUU,"May 27, 2026",108,61.571,413331,0.185
ovKMLcMovRQ,Irán eleva amenazas contra EEUU y el comercio energético mundial,"Jul 16, 2026",111,53.706,467391,0.168
5nnc6qUy6MM,Golpe interno para Trump: La disidencia republicana lo desarma,"Jun 5, 2026",96,45.66,286851,0.211
Vvfoc_ubQz4,Trump da marcha atrás al polémico peaje del 20% en el estrecho de Ormuz,"Jul 15, 2026",114,42.671,333591,0.18
RgAtZpon-Vo,¿Trump pierde el control del tablero geopolítico frente a Israel e Irán?,"Jun 2, 2026",104,39.758,303620,0.17
4qvY6ha5ky0,Oriente Medio en alerta una nueva alianza militar redefine el tablero regional,"Aug 7, 2026",89,33.782,296769,0.163
-vFzNWY2BGE,Una filtración sacude al Pentágono y aumenta la tensión con Irán,"Aug 7, 2026",110,32.97,361565,0.142
n5pRBmJqD8Y,El inicio del viaje tras la pista de Cleopatra - Dra. Kathleen Martínez Ep.1,"Dec 6, 2024",467,29.212,24837,1.176
