Contenido,Título del video,Tiempo de publicación del video,Duración,Porcentaje promedio reproducido (%),Duración promedio de vistas,Vistas,Tiempo de reproducción (horas),Ingresos estimados (USD)
Total,,,,82.93,0:01:36,10586296,197946.5738,0
u5G_2nlisQ8,Se eleva la tension global Irán responde: hay implicaciones en comercio energetico,"Mar 25, 2026",109,79.06,0:01:26,870399,16208.0085,
biHUbgJTdFQ,Irán suma un aliado a la guerra y pone en riesgo para la economía global,"Jul 17, 2026",102,95.11,0:01:37,658365,12884.7729,
ovKMLcMovRQ,Irán eleva amenazas contra EEUU y el comercio energético mundial,"Jul 16, 2026",111,98.05,0:01:48,467381,9703.2112,
vV3Uw15K5Go,ÚLTIMA HORA Trump estalla tras filtración del acuerdo secreto con Irán,"Jun 12, 2026",89,89.47,0:01:19,528781,8934.9504,
V927einCJZo,Convertiremos el área en un cementerio  Irán lanza duras advertencias a EEUU,"May 27, 2026",108,84.26,0:01:30,413331,8103.3499,
-vFzNWY2BGE,Una filtración sacude al Pentágono y aumenta la tensión con Irán,"Aug 7, 2026",110,95.06,0:01:44,361183,6997.8685,
Vvfoc_ubQz4,Trump da marcha atrás al polémico peaje del 20% en el estrecho de Ormuz,"Jul 15, 2026",114,90.01,0:01:42,333586,6826.353,
RgAtZpon-Vo,¿Trump pierde el control del tablero geopolítico frente a Israel e Irán?,"Jun 2, 2026",104,94.29,0:01:38,303620,6038.2428,
4qvY6ha5ky0,Oriente Medio en alerta una nueva alianza militar redefine el tablero regional,"Aug 7, 2026",89,103.12,0:01:31,296355,5416.9495,
36XMpoilps4,¿Puede tomar Trump el control de Venezuela?,"Jul 1, 2026",105,92.65,0:01:37,288289,5336.7996,
5nnc6qUy6MM,Golpe interno para Trump: La disidencia republicana lo desarma,"Jun 5, 2026",96,95.61,0:01:31,286851,5335.7587,
lZCMrOppsJQ,El conflicto ya no es solo entre EE UU,"Jul 31, 2026",84,107.75,0:01:30,283467,4958.2732,
XtCQlOmEprI,La presión militar de Irán se mantiene mientras crecen los llamados al diálogo,"Jul 20, 2026",107,95.04,0:01:41,215534,4407.7956,
u1eAHAlAxkc,Irán refuerza su ofensiva militar y eleva la tensión con EEUU,"Aug 10, 2026",109,98.58,0:01:47,183653,3725.0691,
99LGvbtOvBo,¿La peor derrota de Trump?  Opiniones divididas por el acuerdo de paz,"Jun 18, 2026",98,94.97,0:01:33,214746,3625.9231,
uXHYWQckaGg,¿Un nuevo frente de guerra para Trump? Corea del Norte amenza de palabra y lanza misiles de prueba,"Aug 14, 2026",91,97.01,0:01:28,198765,3548.4669,
Yj7pQ_ApORY,Prensa Iraní proclama victoria así cuentan el alto al fuego de Trump,"Aug 4, 2026",146,92.86,0:02:15,127538,3480.3431,
QA1h1I_c2g4,Informe que anticipó el riesgo sísmico en Venezuela llegó a su gobierno hace 25 años,"Jul 2, 2026",98,72.14,0:01:10,270050,3075.3635,
1SsOYiYc4YM,El Pentágono bajo presión: La parálisis diplomática que fractura la imagen de fuerza de Trump,"Jun 19, 2026",106,99.13,0:01:45,156492,3026.4243,
kwPlMtpLsyw,Una nueva tensión en el mar Rojo eleva la alerta global,"Jul 22, 2026",84,109.06,0:01:31,165320,2914.2449,
IuGdJ8838tg,La guerra escala Medio Oriente abre un nuevo capítulo de incertidumbre global,"Jul 24, 2026",82,106.38,0:01:27,156641,2643.4547,
F8WjE9sjOEQ,Irán exige indemnización a EEUU y Trump responde,"Aug 11, 2026",110,105.1,0:01:55,121432,2618.0991,
68ZNKFP9ckM,Ataques y represalias agravan el conflicto entre Estados Unidos e Irán,"Jul 13, 2026",100,103.1,0:01:43,130261,2538.4317,
begbTra-oU4,Reacciones europeas ante conflicto bélico entre EEUU e Irán,"Mar 31, 2026",109,86.39,0:01:34,128966,2478.0981,
o6u1n5CvBeY,Vuelven los bombardeos de EE  UU  a Irán por el bloqueo de buques en Ormuz,"Jul 8, 2026",117,98.34,0:01:55,119997,2450.258,
8oq4zsjixlg,Fuertes confrontaciones al gobierno venezolano por la respuesta ante el desastre,"Jul 3, 2026",159,72.23,0:01:54,108150,2424.4934,
